Gene Set Name,# Genes DB1,# Genes DB2,# Common,Union Size,% Similarity
Abnormal toenail morphology,164,16,12,168,7.14
Abnormal tongue physiology,101,2,1,102,0.98
Abnormal tricuspid valve physiology,119,13,7,125,5.6
Abnormal upper limb metaphysis morphology,18,9,3,24,12.5
Abnormal ureter morphology,157,27,7,177,3.95
Abnormal urine carbohydrate level,41,2,1,42,2.38
Abnormal urine magnesium concentration,10,10,7,13,53.85
Abnormal urine sodium concentration,18,7,6,19,31.58
Abnormal uterine cervix morphology,41,22,2,61,3.28
Abnormal uterus morphology,178,42,41,179,22.91
Abnormal vascular morphology,1258,390,373,1275,29.25
Abnormal ventricular axis,5,18,1,22,4.55
Abnormal ventricular septum morphology,638,37,30,645,4.65
Abnormal vertebral segmentation and fusion,11,7,6,12,50.0
Abnormal waist to hip ratio,36,15,8,43,18.6
Abnormal wrist physiology,31,6,1,36,2.78
Abnormality iris morphology,533,35,35,533,6.57
Abnormality of alkaline phosphatase level,137,40,40,137,29.2
Abnormality of blood circulation,392,152,151,393,38.42
Abnormality of chorioretinal pigmentation,16,3,3,16,18.75
Abnormality of chromosome segregation,14,6,6,14,42.86
Abnormality of connective tissue,1826,502,502,1826,27.49
Abnormality of cytokine secretion,7,12,5,14,35.71
Abnormality of dental structure,813,134,133,814,16.34
Abnormality of endocrine pancreas physiology,31,25,15,41,36.59
Abnormality of facial musculature,348,29,19,358,5.31
Abnormality of fibrinolysis,7,1,1,7,14.29
Abnormality of fluid regulation,800,151,150,801,18.73
Abnormality of humoral immunity,356,159,158,357,44.26
Abnormality of jaw muscles,33,15,8,40,20.0
Abnormality of lens shape,49,17,10,56,17.86
Abnormality of neuronal migration,476,131,125,482,25.93
Abnormality of neutrophils,274,107,106,275,38.55
Abnormality of pain sensation,112,29,29,112,25.89
Abnormality of peripheral nerve conduction,150,92,86,156,55.13
Abnormality of prenatal development or birth,1118,589,589,1118,52.68
Abnormality of prothrombin,102,7,7,102,6.86
Abnormality of renal excretion,74,53,42,85,49.41
Abnormality of spinal facet joint,5,2,0,7,0.0
Abnormality of superoxide metabolism,5,16,4,17,23.53
Abnormality of the anterior commissure,8,3,2,9,22.22
Abnormality of the autonomic nervous system,305,58,49,314,15.61
Abnormality of the bladder,557,160,130,587,22.15
Abnormality of the breast,472,199,198,473,41.86
Abnormality of the dentition,1322,217,216,1323,16.33
Abnormality of the distal phalanges of the toes,30,15,5,40,12.5
Abnormality of the foot musculature,12,5,1,16,6.25
Abnormality of the gingiva,261,35,35,261,13.41
Abnormality of the glabella,29,2,1,30,3.33
Abnormality of the intrinsic pathway,38,35,8,65,12.31
Abnormality of the lower urinary tract,901,120,119,902,13.19
Abnormality of the menstrual cycle,329,57,56,330,16.97
Abnormality of the middle phalanx of the 5th finger,25,7,3,29,10.34
Abnormality of the neck,1131,96,95,1132,8.39
Abnormality of the ovary,238,136,129,245,52.65
Abnormality of the pancreas,335,140,128,347,36.89
Abnormality of the parathyroid gland,100,28,28,100,28.0
Abnormality of the phalanges of the 2nd finger,18,1,1,18,5.56
Abnormality of the plantar skin of foot,173,11,11,173,6.36
Abnormality of the proximal phalanx of the 5th finger,5,7,2,10,20.0
Abnormality of the pulmonary veins,90,13,9,94,9.57
Abnormality of the pylorus,112,8,3,117,2.56
Abnormality of the tarsal bones,171,23,18,176,10.23
Abnormality of the tonsils,40,10,3,47,6.38
Abnormality of the upper arm,15,3,2,16,12.5
Abnormality of the upper limb,1945,269,266,1948,13.66
Abnormality of the upper urinary tract,1501,92,91,1502,6.06
Abnormality of the urethra,469,31,31,469,6.61
Abnormality of the vertebral column,1765,179,174,1770,9.83
Abnormality of the wrist,651,45,42,654,6.42
Abnormality of thyroid physiology,430,67,58,439,13.21
Abnormality of upper lip vermillion,493,16,13,496,2.62
Abnormality of venous physiology,11,4,3,12,25.0
Abnormality on pulmonary function testing,219,85,74,230,32.17
Abnormally folded helix,94,2,1,95,1.05
Absence of pubertal development,31,21,20,32,62.5
Absence of secondary sex characteristics,44,32,24,52,46.15
Absence of the sacrum,10,3,1,12,8.33
Absent brainstem auditory responses,12,13,6,19,31.58
Absent facial hair,38,12,7,43,16.28
Absent foveal reflex,20,13,9,24,37.5
Absent hair,61,26,25,62,40.32
Absent inner dynein arms,9,15,5,19,26.32
Absent pubertal growth spurt,5,10,1,14,7.14
Absent pubic hair,9,3,3,9,33.33
Absent toenail,19,2,1,20,5.0
Accelerated skeletal maturation,68,25,17,76,22.37
Acephalic spermatozoa,7,6,6,7,85.71
Achilles tendon contracture,54,14,14,54,25.93
Achromatopsia,5,5,5,5,100.0
Acquired abnormal hair pattern,46,3,2,47,4.26
Action tremor,211,31,31,211,14.69
Acute hepatic failure,35,21,18,38,47.37
Acute infectious pneumonia,6,2,1,7,14.29
Acute lymphoblastic leukemia,38,24,23,39,58.97
Acute myeloid leukemia,76,46,46,76,60.53
Acute rhabdomyolysis,5,6,5,6,83.33
Adenocarcinoma of the intestines,58,20,10,68,14.71
Adenocarcinoma of the small intestine,27,6,6,27,22.22
Adipose tissue loss,32,31,14,49,28.57
Adrenal hypoplasia,35,7,6,36,16.67
Adrenocortical adenoma,9,12,5,16,31.25
Adrenocortical carcinoma,19,15,14,20,70.0
Adult onset,1184,57,53,1188,4.46
Agammaglobulinemia,21,19,13,27,48.15
Aggressive behavior,303,101,99,305,32.46
Agyria,18,9,8,19,42.11
Albinism,20,17,17,20,85.0
Allodynia,5,10,3,12,25.0
Alopecia universalis,11,4,3,12,25.0
Amaurosis fugax,42,8,1,49,2.04
Amyotrophic lateral sclerosis,49,48,45,52,86.54
Anal atresia,134,28,26,136,19.12
Anarthria,16,3,3,16,18.75
Androgen insufficiency,5,13,1,17,5.88
Angina pectoris,36,10,10,36,27.78
Angiofibromas,30,4,3,31,9.68
Angiosarcoma,2,2,1,3,33.33
Angulated muscle fibers,8,2,1,9,11.11
Anhidrosis,38,15,13,40,32.5
Ankle pain,6,4,3,7,42.86
Ankyloblepharon,16,4,4,16,25.0
Anophthalmia,70,24,24,70,34.29
Anorectal anomaly,181,17,17,181,9.39
Anorexia,128,32,22,138,15.94
Anosmia,50,24,24,50,48.0
Anterior encephalocele,18,5,4,19,21.05
Anterior pituitary agenesis,10,14,8,16,50.0
Anterior uveitis,18,6,5,19,26.32
Anti-thyroglobulin antibody positivity,9,3,3,9,33.33
Antineutrophil antibody positivity,57,18,9,66,13.64
Antinuclear antibody positivity,74,21,21,74,28.38
Aortic aneurysm,190,80,79,191,41.36
Aortic arch aneurysm,42,9,8,43,18.6
Aortic valve calcification,10,10,4,16,25.0
Aplasia cutis congenita,43,18,18,43,41.86
Aplasia cutis congenita over the scalp vertex,7,7,3,11,27.27
Aplasia of the ulna,5,3,1,7,14.29
Appendicular spasticity,438,16,16,438,3.65
Apraxia,221,53,51,223,22.87
Aqueductal stenosis,28,14,4,38,10.53
Areflexia,322,64,60,326,18.4
Arterial thrombosis,33,18,17,34,50.0
Arthralgia of the hip,9,12,4,17,23.53
Aspiration,38,7,6,39,15.38
Aspiration pneumonia,98,13,6,105,5.71
Astrocytoma,25,23,19,29,65.52
Asymmetric septal hypertrophy,13,24,6,31,19.35
Athetosis,178,15,15,178,8.43
Atlantoaxial abnormality,14,16,4,26,15.38
Atresia of the external auditory canal,57,15,14,58,24.14
Atrial flutter,21,17,6,32,18.75
Atrioventricular canal defect,69,12,11,70,15.71
Atrophic scars,63,13,13,63,20.63
Atypical behavior,1687,241,241,1687,14.29
Autoimmune thrombocytopenia,39,23,22,40,55.0
Autoimmunity,313,220,206,327,63.0
Axial dystonia,16,6,5,17,29.41
Axillary freckling,5,2,1,6,16.67
Axillary pterygium,12,7,6,13,46.15
Barrett esophagus,7,5,4,8,50.0
Bifid distal phalanx of the thumb,5,1,1,5,20.0
Bifid epiglottis,7,4,3,8,37.5
Bilateral choanal atresia,10,3,2,11,18.18
Bilateral single transverse palmar creases,79,7,3,83,3.61
Bilateral tonic-clonic seizure with focal onset,54,8,8,54,14.81
Bile duct proliferation,23,18,5,36,13.89
Biliary atresia,13,9,5,17,29.41
Biliary tract abnormality,115,33,27,121,22.31
Biliary tract neoplasm,16,15,5,26,19.23
Blepharophimosis,158,33,30,161,18.63
Blindness,347,145,144,348,41.38
Blue nevus,11,3,2,12,16.67
Blurred vision,46,15,7,54,12.96
Bone cyst,28,15,11,32,34.38
Bone marrow hypocellularity,628,34,30,632,4.75
Bowed humerus,10,11,1,20,5.0
Bradycardia,100,37,37,100,37.0
Brain stem compression,14,5,1,18,5.56
Breech presentation,73,7,2,78,2.56
Broad alveolar ridges,15,4,1,18,5.56
Broad columella,14,2,2,14,14.29
Broad distal phalanx of finger,27,12,6,33,18.18
Broad eyebrow,30,3,2,31,6.45
Broad first metatarsal,6,2,1,7,14.29
Broad foot,590,10,7,593,1.18
Broad forehead,293,33,32,294,10.88
Broad metatarsal,13,6,1,18,5.56
Broad nasal tip,165,35,30,170,17.65
Broad phalanges of the hand,632,2,2,632,0.32
Broad thumb,620,28,28,620,4.52
Bronchomalacia,39,12,3,48,6.25
Bruxism,39,3,2,40,5.0
Cachexia,98,21,20,99,20.2
Cafe-au-lait spot,131,18,18,131,13.74
Calcific stippling,5,4,1,8,12.5
Calcification of cartilage,12,8,7,13,53.85
Calf muscle pseudohypertrophy,20,12,7,25,28.0
Calvarial hyperostosis,9,10,3,16,18.75
Calvarial osteosclerosis,8,7,3,12,25.0
Camptodactyly of toe,44,5,5,44,11.36
Capillary hemangioma,38,17,7,48,14.58
Carcinoid tumor,12,5,5,12,41.67
Cardiac rhabdomyoma,5,2,2,5,40.0
Cardiomegaly,139,36,36,139,25.9
Carotid artery stenosis,7,11,3,15,20.0
Caudate atrophy,15,4,4,15,26.67
Centrally nucleated skeletal muscle fibers,60,19,13,66,19.7
Cerebellar atrophy,462,246,244,464,52.59
Cerebellar dentate nucleus calcification,8,6,6,8,75.0
Cerebellar hemisphere hypoplasia,8,8,1,15,6.67
Cerebral arteriovenous malformation,7,10,6,11,54.55
Cerebral cavernous malformation,5,7,4,8,50.0
Cerebral hamartoma,21,5,4,22,18.18
Cerebral hemorrhage,72,33,29,76,38.16
Cerebral inclusion bodies,52,19,16,55,29.09
Cerebral visual impairment,184,12,11,185,5.95
Cervical kyphosis,23,11,3,31,9.68
Cervical lymphadenopathy,10,18,3,25,12.0
Cheilitis,59,8,3,64,4.69
Chiari malformation,134,32,32,134,23.88
Chilblains,12,6,6,12,50.0
Childhood onset sensorineural hearing impairment,19,26,8,37,21.62
Chills,21,3,2,22,9.09
Cholangiocarcinoma,8,13,3,18,16.67
Cholangitis,28,10,10,28,35.71
Chondrocalcinosis,22,8,8,22,36.36
Choreoathetosis,135,32,32,135,23.7
Chorioretinal atrophy,60,23,23,60,38.33
Chorioretinal coloboma,51,13,13,51,25.49
Chronic bronchitis,29,3,2,30,6.67
Chronic infection,26,11,8,29,27.59
Chronic leukemia,23,13,13,23,56.52
Chronic pain,13,15,5,23,21.74
Chronic pulmonary obstruction,37,23,10,50,20.0
Chronic rhinitis,62,6,5,63,7.94
Cirrhosis,167,108,95,180,52.78
Cleft upper lip,237,36,35,238,14.71
Clitoral hypertrophy,69,13,11,71,15.49
Clitoral hypoplasia,33,8,1,40,2.5
Clonus,131,22,10,143,6.99
Cloverleaf skull,8,7,3,12,25.0
Clumsiness,95,16,15,96,15.62
Coarctation of aorta,155,40,24,171,14.04
Coiled sperm flagella,36,26,21,41,51.22
Colon cancer,51,51,34,68,50.0
Color vision defect,222,39,39,222,17.57
Color vision test abnormality,10,7,7,10,70.0
Combined immunodeficiency,43,37,37,43,86.05
Complete atrioventricular canal defect,18,20,5,33,15.15
Complete right bundle branch block,57,3,3,57,5.26
Congenital contracture,193,97,90,200,45.0
Congenital finger flexion contractures,38,9,4,43,9.3
Congenital giant melanocytic nevus,7,7,7,7,100.0
Congenital hypoplastic anemia,5,1,1,5,20.0
Congenital onset,1177,604,594,1187,50.04
Conical tooth,57,21,20,58,34.48
Conjunctival hyperemia,8,1,1,8,12.5
Convex nasal ridge,119,7,7,119,5.88
Cor pulmonale,15,2,1,16,6.25
Corneal dystrophy,39,21,20,40,50.0
Corneal erosion,111,12,12,111,10.81
Corneal guttata,6,3,3,6,50.0
Corneal neovascularization,27,11,5,33,15.15
Corneal ulceration,90,6,5,91,5.49
Coronal cleft vertebrae,42,2,2,42,4.76
Coronary artery aneurysm,7,5,4,8,50.0
Cough,167,43,36,174,20.69
Cranial asymmetry,16,2,1,17,5.88
Cranial nerve compression,610,13,8,615,1.3
Craniofacial asymmetry,6,13,1,18,5.56
Craniofacial osteosclerosis,16,11,7,20,35.0
Crumpled ear,33,2,2,33,6.06
Cupped ribs,30,2,2,30,6.67
Curly hair,36,13,12,37,32.43
Cutaneous cyst,25,8,3,30,10.0
Cutaneous finger syndactyly,57,18,18,57,31.58
Cutaneous melanoma,22,18,18,22,81.82
Cutaneous syndactyly of toes,36,4,3,37,8.11
Cutis gyrata of scalp,6,4,2,8,25.0
Death in adolescence,23,2,1,24,4.17
Death in adulthood,43,17,9,51,17.65
Death in childhood,138,43,37,144,25.69
Decreased body weight,1962,268,264,1966,13.43
Decreased circulating androgen concentration,70,12,8,74,10.81
Decreased circulating copper concentration,8,9,2,15,13.33
Decreased circulating parathyroid hormone level,10,6,5,11,45.45
Decreased circulating renin concentration,13,2,1,14,7.14
Decreased glomerular filtration rate,30,14,9,35,25.71
Decreased head circumference,1766,242,227,1781,12.75
Decreased mean corpuscular hemoglobin concentration,6,2,1,7,14.29
Decreased miniature endplate potentials,13,8,6,15,40.0
Decreased number of large peripheral myelinated nerve fibers,20,12,6,26,23.08
Decreased testicular size,188,39,33,194,17.01
Decreased total granulocyte count,8,2,1,9,11.11
Decreased urine output,30,14,6,38,15.79
Deep venous thrombosis,22,18,15,25,60.0
Degeneration of anterior horn cells,21,24,12,33,36.36
Degeneration of the striatum,13,3,3,13,23.08
Dehydration,113,45,34,124,27.42
Delayed epiphyseal ossification,57,14,14,57,24.56
Delayed gross motor development,1002,91,91,1002,9.08
Delayed somatosensory central conduction time,5,14,1,18,5.56
Delirium,10,3,2,11,18.18
Dementia,231,170,160,241,66.39
Demyelinating motor neuropathy,6,1,1,6,16.67
Demyelinating peripheral neuropathy,65,16,16,65,24.62
Dental malocclusion,186,40,39,187,20.86
Dermal translucency,50,2,2,50,4.0
Dermatological manifestations of systemic disorders,352,49,39,362,10.77
Developmental glaucoma,75,25,22,78,28.21
Deviation of the thumb,55,17,7,65,10.77
Deviation of toes,646,11,10,647,1.55
Diaphragmatic weakness,17,16,11,22,50.0
Diaphyseal dysplasia,5,7,3,9,33.33
Diarrhea,463,172,172,463,37.15
Difficulty standing,23,2,1,24,4.17
Diffuse cerebellar atrophy,21,16,5,32,15.62
Diffuse palmoplantar hyperkeratosis,10,7,7,10,70.0
Digenic inheritance,16,9,8,17,47.06
Digestive system neoplasm,356,164,162,358,45.25
Dilatation of the bladder,12,20,6,26,23.08
Dilated cardiomyopathy,186,123,103,206,50.0
Dilated third ventricle,16,15,3,28,10.71
Dimple chin,19,2,2,19,10.53
Discoid lupus rash,39,22,13,48,27.08
Disproportionate short stature,159,55,51,163,31.29
Distal lower limb amyotrophy,65,11,10,66,15.15
Distal lower limb muscle weakness,100,61,53,108,49.07
Distal peripheral sensory neuropathy,20,3,2,21,9.52
Distal symphalangism,8,5,4,9,44.44
Dolichocephaly,237,23,23,237,9.7
Drusen,120,34,29,125,23.2
Dry skin,200,47,45,202,22.28
Duplicated collecting system,26,7,1,32,3.12
Duplication of thumb phalanx,63,5,3,65,4.62
Dynein arm defect of respiratory motile cilia,19,12,12,19,63.16
Dysgammaglobulinemia,5,7,2,10,20.0
Dyskinesia,207,87,76,218,34.86
Dysphagia,572,132,125,579,21.59
Dysphonia,158,19,19,158,12.03
Dyspnea,540,98,97,541,17.93
Dystrophic fingernails,32,13,7,38,18.42
Ear pain,15,2,1,16,6.25
Early young adult onset,64,28,16,76,21.05
Easy fatigability,662,27,20,669,2.99
Ebstein anomaly of the tricuspid valve,6,3,3,6,50.0
Ecchymosis,86,15,12,89,13.48
Eclabion,176,3,2,177,1.13
Ectodermal dysplasia,27,25,23,29,79.31
Ectopia lentis,80,18,17,81,20.99
Ectopia pupillae,23,3,3,23,13.04
Ectopic anterior pituitary gland,9,5,4,10,40.0
Ectropion,136,21,15,142,10.56
Elbow contracture,179,29,29,179,16.2
Elevated circulating aldolase concentration,9,3,1,11,9.09
Elevated circulating aspartate aminotransferase concentration,89,19,6,102,5.88
Elevated circulating growth hormone concentration,17,9,8,18,44.44
Elevated circulating porphyrin concentration,8,12,5,15,33.33
Elevated hepatic iron concentration,12,15,6,21,28.57
Elevated urinary delta-aminolevulinic acid,5,5,5,5,100.0
Elevated urinary vanillylmandelic acid,8,13,4,17,23.53
Embryonal renal neoplasm,49,10,9,50,18.0
Emotional lability,168,9,8,169,4.73
Emphysema,75,32,18,89,20.22
Enamel hypomineralization,10,22,8,24,33.33
Enlarged cerebellum,7,2,1,8,12.5
Enlarged epiphyses,30,6,4,32,12.5
Enlarged interphalangeal joints,6,1,1,6,16.67
Enlarged joints,29,3,2,30,6.67
Enlarged kidney,49,16,16,49,32.65
Enlarged ovaries,18,9,8,19,42.11
Enlarged posterior fossa,203,32,18,217,8.29
Enlarged sylvian cistern,5,1,1,5,20.0
Enterocolitis,32,12,12,32,37.5
Entrapment neuropathy,18,14,4,28,14.29
Enuresis,34,28,17,45,37.78
Epicanthus,1062,37,37,1062,3.48
Epidermal acanthosis,55,18,18,55,32.73
Epididymitis,21,5,4,22,18.18
Epilepsia partialis continua,12,10,6,16,37.5
Epileptic spasm,214,104,104,214,48.6
Erectile dysfunction,79,25,12,92,13.04
Erosion of oral mucosa,108,11,11,108,10.19
Eruption failure,17,11,3,25,12.0
Erythroid hyperplasia,20,16,7,29,24.14
Esophageal atresia,35,23,11,47,23.4
Everted lower lip vermilion,143,8,6,145,4.14
Excessive salivation,171,8,2,177,1.13
Exercise-induced muscle stiffness,8,5,4,9,44.44
Exercise-induced rhabdomyolysis,6,7,6,7,85.71
