Gene Set Name,Common Genes,Newly Added Genes,Lost Genes,# Common,# New,# Lost,# Original
Sclerotic vertebral endplates,5167,56339,"1186, 1758, 50964, 79705, 8838",1,1,5,6
Abnormal cardiac biomarker test,"1829, 3156, 4878, 5698, 6331, 7276","1666, 55234, 59272, 6262, 64759, 6672, 6774, 9022, 9938",6840,6,9,1,7
Macular scar,"3426, 64802",3075,"3105, 4982, 6452",2,1,3,5
Lacrimation abnormality,"2138, 2255, 3859, 55768, 60529, 668, 8086","362, 3855, 4586, 7442, 79054","1123, 114049, 114548, 1161, 117581, 1296, 1308, 135886, 147912, 1545, 155368, 155382, 162, 1736, 197131, 2006, 2072, 2074, 220202, 2261, 2263, 23516, 26040, 26191, 26277, 26608, 2776, 2969, 29926, 30813, 3123, 3321, 355, 3850, 3977, 3984, 4035, 4053, 4070, 4137, 4653, 4693, 4952, 5073, 5075, 5077, 55505, 55636, 55651, 5621, 56246, 57167, 58495, 59335, 5982, 60684, 6335, 6392, 64218, 6495, 653361, 6558, 6663, 667, 6720, 6804, 6935, 7010, 7298, 7458, 7461, 79977, 8322, 84163, 84277, 8468, 8518, 85446, 8567, 8626, 9031, 9071, 9091, 9569, 9723, 9935",7,5,86,93
Normochromic anemia,"2623, 3931, 51816, 55027, 6125, 6138, 6154, 6165, 6201, 6204, 6210, 6218, 6229, 6231, 90121","100187828, 3043, 5008, 6774, 7128, 7355, 8085","11224, 11277, 171023, 226, 23451, 3098, 3815, 54790, 5826, 6132, 6133, 6135, 6141, 6155, 6160, 6223, 6224, 6232, 6234, 6235, 6427, 7167, 7386, 950",15,7,24,39
Dry skin,"1029, 10913, 11005, 121214, 126410, 128178, 136647, 1474, 151516, 1896, 2072, 2222, 224, 22845, 22861, 2312, 242, 2531, 26154, 3417, 348938, 3848, 388698, 412, 4286, 4853, 4914, 54101, 55012, 5594, 57511, 59344, 5965, 64834, 6785, 6820, 7051, 7507, 7508, 7737, 80326, 8799, 9071, 9076, 9526","360, 7299","100, 100147744, 100151683, 1019, 10295, 103, 1030, 10457, 10535, 10714, 1075, 10815, 11128, 112752, 11277, 114803, 1161, 117581, 127534, 128674, 134353, 1476, 1482, 1487, 1493, 16, 1643, 1650, 165918, 19, 200734, 2068, 2071, 2073, 2074, 2260, 23013, 23328, 2355, 238, 2517, 253959, 2550, 25913, 25939, 26277, 2697, 2707, 2767, 2783, 283209, 284058, 284252, 2934, 2961, 3561, 3575, 3643, 3832, 3845, 3861, 3954, 3981, 404672, 4157, 4255, 4308, 440138, 4668, 4733, 4792, 4893, 4953, 5015, 5053, 5116, 51163, 51360, 5184, 5191, 5264, 5283, 538, 5429, 54386, 54872, 54888, 55181, 55630, 55636, 55719, 55770, 5587, 5604, 5605, 56916, 5699, 56992, 57654, 5781, 5894, 5896, 5897, 5908, 6023, 6261, 6304, 64127, 64135, 643418, 64421, 6499, 65057, 6528, 6657, 6658, 6660, 673, 6897, 7015, 7067, 7133, 7200, 7201, 7252, 7319, 7468, 7469, 7480, 7849, 79621, 79644, 816, 831, 8314, 833, 84153, 846, 8481, 84905, 857, 8626, 8815, 8820, 8942, 91039, 9180, 91875, 9325, 940, 9487, 9652, 9837, 9839, 9915",45,2,155,200
Abnormal blood zinc concentration,"55630, 64116, 7780","1390, 1583, 1956, 207, 3251, 5619, 5620, 596, 6622, 7124, 842","1294, 3376, 4312, 9051, 9056",3,11,5,8
2-hydroxyglutarate aciduria,"3417, 3418, 6576, 728294, 79944",,51117,5,0,1,6
Abnormal joint morphology,"1001, 10060, 1009, 10195, 10216, 10262, 10312, 10324, 10371, 10381, 10526, 10585, 10651, 10660, 11014, 113189, 114548, 1230, 1277, 1278, 1280, 1281, 1289, 1290, 1291, 1292, 1293, 1297, 1298, 1299, 1300, 1301, 1302, 1303, 1311, 144811, 1513, 163175, 170689, 170691, 1749, 1758, 176, 1834, 1861, 200734, 2010, 207, 2073, 2113, 2131, 2132, 2192, 2200, 2201, 2218, 222663, 2253, 2254, 2261, 22856, 22943, 23169, 2318, 2335, 23443, 23483, 23509, 2487, 249, 2588, 2591, 26137, 26276, 2735, 2736, 2737, 2778, 283120, 28514, 285590, 286, 2879, 28952, 2990, 29940, 30008, 3094, 3187, 3209, 3239, 3248, 3339, 342035, 3423, 3425, 3479, 3549, 3569, 3572, 3586, 3654, 375790, 3835, 387733, 392255, 3977, 3984, 4010, 4015, 4035, 4036, 4038, 4054, 406932, 4087, 4088, 4089, 4091, 411, 4148, 4210, 4222, 4256, 427, 4282, 4313, 4318, 4322, 4323, 4593, 4598, 4615, 4621, 4669, 4784, 4803, 4851, 4853, 4854, 4880, 4914, 4920, 5077, 50943, 50964, 5167, 51715, 5213, 5251, 5307, 5352, 54209, 54361, 54551, 54829, 55605, 55790, 55858, 55906, 5604, 56172, 56203, 56603, 57190, 57211, 5727, 5728, 5744, 5745, 57592, 5781, 5925, 59341, 60681, 6137, 6299, 6323, 633, 63895, 64094, 64131, 64175, 6424, 64327, 6452, 6469, 6473, 6497, 650, 652, 653361, 654, 658, 65992, 6608, 6660, 6662, 6678, 6774, 6850, 6910, 6938, 695, 7040, 7042, 7043, 7046, 7048, 7058, 7099, 7128, 7132, 7136, 7140, 7148, 7170, 7227, 7273, 7291, 7415, 7421, 7474, 7480, 7486, 79087, 79644, 79659, 79705, 79796, 8074, 80816, 81794, 8200, 8450, 84572, 84695, 84976, 8506, 85301, 865, 8792, 90, 91179, 9241, 9321, 9361, 9365, 9401, 9420, 9423, 9427, 9469, 9496, 9509, 9719, 9757, 9759, 9935, 998",57551,"100033413, 100147744, 100151683, 10020, 10043, 10054, 10082, 10084, 10093, 10126, 10159, 101928376, 10225, 10235, 10243, 10265, 10269, 10273, 10274, 10277, 1028, 10280, 10290, 10293, 10297, 103, 10318, 10397, 10436, 10459, 10466, 10491, 10516, 10535, 105371045, 10558, 10564, 10568, 10584, 10586, 10613, 1062, 10630, 10664, 10682, 10683, 10686, 10716, 10717, 1073, 10733, 10735, 10749, 1075, 10765, 10785, 10804, 10815, 10847, 10908, 10940, 10973, 10992, 11005, 11011, 1103, 1108, 11117, 11128, 11145, 11154, 11160, 11200, 1123, 112476, 112752, 112755, 11277, 11285, 112858, 1131, 113179, 113246, 113278, 1134, 1140, 114049, 1144, 1146, 1147, 1161, 1175, 117581, 1182, 1184, 118429, 1186, 1188, 120227, 121340, 122622, 1235, 123606, 124583, 126792, 1272, 127833, 128674, 129285, 1294, 130340, 1305, 1308, 1312, 1314, 132884, 134218, 134353, 134701, 1351, 1353, 135886, 136647, 1376, 137682, 1380, 138050, 1387, 139285, 139818, 1399, 142680, 1436, 145173, 145258, 145624, 145873, 1462, 147372, 1487, 148738, 1490, 149233, 1493, 1497, 150, 150468, 153241, 153642, 155368, 155382, 157570, 1576, 157680, 1588, 1593, 1594, 16, 160418, 1605, 161742, 1630, 1643, 165, 165918, 166929, 1678, 168667, 171023, 1717, 1718, 1723, 1736, 1747, 175, 1750, 1756, 1763, 1773, 1776, 1777, 1788, 1798, 1836, 1855, 1857, 1859, 1889, 1906, 1909, 1947, 1954, 199857, 2000, 2006, 202018, 2033, 2038, 203859, 205327, 2067, 2068, 2071, 2072, 2074, 2077, 210, 2121, 2122, 2137, 2138, 2146, 2147, 215, 2153, 2155, 2157, 2158, 2159, 2160, 2162, 2165, 2175, 2176, 2177, 2178, 2186, 2187, 2188, 2189, 219285, 219844, 219854, 2202, 221037, 2212, 2213, 2215, 221895, 2222, 2239, 2243, 2244, 2245, 2255, 2258, 2260, 2263, 2266, 2273, 22800, 22808, 22827, 22858, 22861, 22872, 22880, 22930, 22931, 22978, 22995, 23007, 23013, 23102, 23111, 23118, 2313, 23141, 2316, 23162, 2317, 23184, 23187, 23204, 23213, 23219, 23224, 23230, 23233, 2324, 23291, 23299, 23314, 23321, 23322, 23327, 23345, 23363, 23384, 23387, 23394, 23395, 23431, 23432, 23476, 23498, 23499, 23512, 23516, 23522, 23529, 23545, 23586, 23592, 23594, 23742, 23761, 25, 2517, 2530, 2535, 253738, 2538, 2542, 2554, 255758, 2563, 2566, 257, 25778, 25782, 258, 2581, 25836, 25839, 25871, 25885, 25886, 2590, 25911, 25914, 25923, 259232, 25939, 25942, 26040, 26053, 26092, 26123, 26146, 26160, 2617, 26175, 2619, 26191, 26224, 26227, 26229, 2629, 2639, 2643, 26503, 26525, 2653, 26608, 267010, 2673, 2677, 2688, 2690, 2692, 2693, 2697, 2706, 27125, 27145, 27152, 2717, 2719, 2720, 27238, 27245, 27247, 27316, 2733, 27343, 274, 2741, 2743, 2767, 2773, 2782, 2783, 2799, 2812, 284058, 284403, 285175, 285203, 285362, 285489, 286053, 2887, 2892, 28962, 28981, 28982, 29072, 29089, 29110, 29123, 2961, 2969, 2972, 29760, 29887, 29895, 29920, 29925, 29927, 29928, 29954, 29957, 29968, 29980, 29998, 30061, 3021, 3043, 3064, 3077, 3081, 3098, 3106, 3107, 3110, 3113, 3115, 3123, 3178, 3181, 3207, 3236, 324, 3251, 3265, 331, 3313, 3315, 3373, 337867, 338433, 339855, 3400, 340419, 341208, 3417, 3418, 342184, 3426, 3459, 347734, 348, 3480, 3481, 3483, 348980, 3500, 3501, 3507, 3508, 3514, 3516, 3543, 3547, 355, 3551, 3557, 3559, 356, 3560, 3561, 3592, 3593, 3615, 3636, 3653, 3655, 3662, 3663, 3664, 3679, 368, 3684, 3691, 3703, 3714, 372, 3720, 374654, 374879, 375, 375056, 3758, 3759, 3769, 3798, 3799, 3839, 3845, 3848, 3852, 3857, 3861, 3868, 387119, 388015, 3897, 3899, 3908, 3911, 3913, 3914, 3930, 3954, 3955, 3998, 4000, 4040, 4041, 404672, 4052, 4053, 4067, 4072, 4094, 4123, 4125, 4126, 4131, 4141, 415, 4174, 4204, 421, 4221, 4233, 4261, 4297, 4359, 440193, 444, 4488, 4507, 4522, 4582, 4591, 4604, 4613, 4626, 4632, 4633, 4649, 4654, 4703, 4728, 473, 4747, 4750, 4758, 4763, 4773, 4795, 4796, 4838, 4841, 486, 4882, 4883, 4893, 4897, 4921, 4927, 4929, 4948, 4952, 497661, 4982, 4990, 4998, 5000, 5015, 5033, 5034, 5048, 50485, 50515, 5054, 50628, 50814, 50937, 50945, 51002, 51010, 51025, 51053, 51062, 51082, 51085, 51098, 51112, 51114, 51117, 51119, 51135, 5116, 5119, 51199, 51256, 51259, 51284, 513, 5130, 51305, 5133, 51360, 5139, 5144, 51506, 5159, 51592, 51594, 51604, 51608, 51626, 51651, 51659, 51684, 51726, 51729, 51744, 51752, 5176, 51776, 51816, 5184, 5189, 5190, 5191, 523, 5277, 5286, 529, 5290, 5293, 5295, 5296, 5297, 5308, 5324, 5328, 5331, 5332, 5339, 5345, 5351, 5358, 5376, 538, 53834, 54, 540, 54101, 54187, 5426, 54332, 5442, 54463, 5447, 5449, 54496, 54499, 545, 5456, 54567, 546, 54681, 547, 5476, 5479, 54808, 54880, 54897, 54899, 54903, 54928, 54968, 5500, 55012, 55024, 55027, 55033, 55081, 55112, 55120, 55129, 55148, 55151, 55159, 55191, 55209, 55214, 55215, 55252, 5528, 55315, 55325, 55343, 55384, 55503, 55505, 55599, 55603, 55612, 55628, 55636, 55640, 55644, 55650, 55651, 5566, 5567, 55681, 55697, 55699, 55703, 55717, 5573, 55746, 55764, 55768, 55780, 55784, 5580, 55835, 55851, 55869, 55870, 5590, 5593, 5594, 55958, 56006, 5605, 56244, 5626, 56262, 5631, 5648, 5657, 5660, 5689, 56896, 56915, 56916, 5692, 56937, 5696, 56975, 56983, 57003, 57020, 57094, 57122, 57165, 57167, 5718, 57187, 57192, 57222, 57282, 57449, 57477, 57479, 57492, 57498, 57514, 57526, 57531, 57538, 57539, 57545, 57560, 57572, 57688, 57697, 57704, 5771, 57728, 57731, 5777, 57817, 57863, 579, 58, 5828, 5830, 5831, 5832, 5881, 5885, 5888, 5889, 5894, 5896, 5897, 5898, 5913, 5922, 5932, 5977, 5982, 5993, 60, 6016, 6023, 60482, 60529, 60561, 60676, 613, 6134, 6154, 6210, 6237, 6239, 6253, 6261, 6263, 6303, 6324, 6326, 6329, 6335, 6389, 63894, 6390, 63901, 6392, 63976, 6399, 640, 64093, 64116, 64127, 64132, 64135, 64240, 64241, 64324, 64359, 64374, 644096, 64412, 6442, 64421, 64423, 6448, 6468, 64682, 64802, 64837, 64840, 64841, 649, 6491, 6495, 6496, 65055, 65082, 6509, 65109, 65125, 6521, 65250, 65267, 6536, 6557, 6558, 6559, 6567, 6572, 6576, 6578, 6583, 6595, 6597, 6598, 6605, 6616, 6628, 6647, 6654, 6655, 6657, 6658, 6683, 6688, 6696, 6697, 6708, 6709, 6710, 6711, 6712, 672, 6729, 673, 6736, 6748, 675, 6775, 6777, 6786, 6804, 6811, 6812, 6840, 6843, 6874, 6885, 6897, 6899, 6904, 6905, 6909, 6911, 6913, 6916, 6926, 6928, 6929, 6945, 6949, 6997, 6999, 7018, 7020, 7021, 7030, 7036, 7050, 7066, 7067, 71, 713, 7138, 715, 7157, 716, 7169, 72, 720, 721, 727857, 7290, 7292, 7305, 7317, 7319, 7332, 7337, 7345, 7353, 7355, 7360, 7369, 7390, 7403, 7407, 7450, 7454, 7456, 7458, 7461, 7468, 7471, 7473, 7475, 7476, 7481, 7507, 7508, 7516, 7518, 7528, 7531, 7543, 7545, 7546, 7547, 755, 760, 7681, 7704, 7737, 7798, 7840, 7846, 7862, 78987, 78989, 791114, 79147, 79152, 79158, 79188, 79577, 79583, 79621, 79631, 79633, 79693, 79722, 79728, 79784, 79809, 79848, 79867, 79875, 79879, 79903, 79912, 79932, 7994, 79989, 80152, 80169, 80184, 80185, 80199, 80204, 80207, 80208, 8022, 80254, 8036, 8076, 8085, 8091, 8092, 81031, 8139, 815, 81603, 81620, 81796, 81839, 81857, 81858, 8195, 8216, 8218, 823, 8239, 8242, 8243, 825, 8260, 8270, 8291, 8292, 8294, 8302, 8318, 833, 83452, 83480, 83550, 83636, 83706, 83737, 83932, 8398, 83987, 83990, 84059, 84065, 84068, 84153, 84163, 84188, 84189, 84265, 84277, 843, 84340, 84342, 8443, 84464, 84466, 8449, 84520, 84570, 846, 84627, 84667, 8468, 84700, 8481, 84823, 84876, 84896, 8493, 84942, 84992, 8510, 8514, 8517, 8518, 85365, 8540, 8546, 85465, 8566, 8567, 857, 860, 8600, 8626, 8642, 8643, 867, 871, 87178, 8720, 875, 8788, 8813, 8815, 8820, 8823, 8838, 8882, 8883, 8924, 8928, 8936, 8942, 8945, 8974, 8985, 89866, 89884, 89891, 89910, 89970, 90268, 9031, 90411, 90417, 90459, 9049, 9051, 9060, 90993, 91137, 91147, 91252, 9126, 9131, 91461, 9150, 9152, 91662, 91754, 9179, 919, 9200, 92002, 9203, 9215, 92255, 9231, 92344, 9244, 9247, 9276, 9289, 9338, 9343, 9382, 9394, 9409, 9419, 9451, 9487, 9499, 950, 9508, 9517, 9531, 9533, 9555, 9569, 9573, 959, 9632, 9653, 9663, 9675, 973, 974, 9742, 9775, 9786, 9791, 9820, 9839, 9842, 9851, 987, 9871, 9894, 9896, 9898, 990, 9900, 9915, 9917, 9927, 9928, 9939, 9949, 9968, 9997",260,1,1226,1486
Abnormality of the plantar skin of foot,"1075, 127534, 162514, 1828, 1832, 207, 3265, 3728, 51360, 5727, 79651",,"100144748, 10060, 1041, 10483, 10625, 10651, 1080, 10804, 10848, 11012, 11285, 121214, 121391, 126410, 1294, 1308, 1387, 1474, 1475, 1493, 1508, 1593, 162, 171023, 1736, 1824, 2033, 204219, 205717, 2074, 2261, 2263, 22808, 22861, 23328, 23545, 23556, 242, 2475, 2531, 25959, 26154, 26276, 26277, 2697, 2706, 2707, 284654, 285848, 286887, 29926, 3190, 3248, 348938, 362, 3691, 3756, 3764, 3782, 3845, 3848, 3849, 3852, 3853, 3854, 3857, 3858, 3861, 3868, 3872, 3889, 3891, 3909, 3914, 3918, 3981, 4014, 4035, 4047, 412, 4312, 4574, 4869, 488, 5073, 51371, 5159, 5167, 51684, 51750, 5184, 526, 5290, 5317, 5339, 5351, 54345, 54795, 54800, 55135, 55297, 55505, 55612, 55651, 5587, 5604, 5605, 56916, 57152, 57192, 5728, 57511, 5818, 59344, 6016, 60684, 6303, 6390, 6391, 6392, 64065, 64682, 6578, 667, 673, 6820, 6898, 7012, 7015, 7051, 7133, 715, 7286, 7298, 7373, 7486, 79092, 79644, 79650, 79718, 79719, 79977, 80169, 80204, 80326, 8086, 8216, 831, 83550, 84627, 8626, 8643, 8710, 9049, 9091, 920, 9342, 9373, 940, 9401, 9487, 9896",11,0,162,173
Hyperkalemia,"10058, 10463, 1585, 190, 226, 26249, 3284, 4158, 54809, 56246, 6261, 6329, 6337, 6338, 6340, 65125, 65266, 6770, 771, 779, 8452","1589, 27347, 3075","100134444, 10587, 11232, 1583, 23175, 23530, 2556, 27130, 29927, 4306, 4512, 4514, 4791, 5076, 5087, 5447, 6513, 6522, 84033, 9095",21,3,20,41
Distal symphalangism,"3549, 658, 8200, 9241",4920,"10262, 5116, 7021, 9898",4,1,4,8
Talipes equinovarus,"113189, 1146, 126792, 1277, 1278, 1303, 132884, 2121, 2218, 2273, 22954, 2316, 23169, 2317, 23314, 23389, 23522, 246329, 26040, 2737, 29940, 3265, 3664, 3897, 4010, 4359, 4621, 51715, 5189, 5307, 5352, 5376, 54101, 54332, 5447, 55636, 57498, 57688, 59341, 60681, 6261, 6662, 6901, 7048, 7140, 79087, 79628, 79633, 79796, 8195, 8241, 84342, 8854, 91179, 9496","1299, 131377, 1760, 3238","101929726, 10195, 10262, 10290, 10293, 10297, 10397, 10491, 10516, 10526, 10606, 10664, 10682, 10717, 10730, 10733, 10743, 10806, 10815, 11014, 11020, 11117, 11128, 11154, 11193, 1123, 11285, 1131, 113179, 113246, 117581, 1182, 121340, 121512, 123016, 124583, 1280, 1281, 1289, 1290, 1291, 129685, 129880, 1312, 1317, 132320, 1387, 139285, 145258, 147372, 1487, 1490, 1491, 1496, 157657, 160418, 163175, 165, 166379, 166929, 1674, 168667, 170689, 1718, 1807, 1834, 1836, 1861, 1917, 1954, 1968, 199857, 2006, 202018, 2033, 2064, 2073, 2146, 219844, 2200, 2201, 2202, 221037, 2239, 22858, 22872, 2290, 22978, 23040, 23129, 23184, 23187, 23299, 23321, 23327, 23345, 23431, 23483, 23512, 23545, 23594, 2395, 249, 25, 2571, 25782, 25793, 258, 25839, 259232, 26123, 26160, 26229, 26276, 2632, 2643, 27077, 27145, 2719, 2720, 27241, 27245, 27247, 2733, 274, 2812, 284086, 285590, 286, 2879, 2891, 29895, 2990, 29968, 29980, 30008, 3008, 3039, 3040, 3098, 3190, 3295, 3315, 3339, 339855, 340075, 340419, 342035, 348180, 3508, 3549, 3572, 3615, 3679, 374879, 375056, 3799, 3835, 387733, 389827, 3911, 3913, 3954, 3977, 4000, 4015, 4041, 4054, 4087, 4088, 4123, 4125, 421, 4233, 444, 4487, 4547, 4593, 4604, 4625, 4626, 4633, 4649, 4733, 4867, 4882, 4883, 4929, 49855, 4998, 5033, 5034, 50485, 51057, 51111, 5119, 51360, 51594, 51633, 51651, 5176, 51776, 523, 529, 5297, 5351, 5358, 53834, 5442, 54499, 54585, 546, 54676, 547, 5479, 54808, 54809, 54820, 54872, 54880, 54903, 55033, 55120, 55151, 55165, 55191, 55212, 5530, 55593, 55603, 55670, 55679, 55773, 55784, 55788, 55790, 55906, 5594, 56704, 56937, 56997, 57003, 57167, 57190, 57211, 57222, 57231, 57410, 57449, 57477, 57514, 57531, 57545, 579, 58, 5818, 582, 5828, 583, 5830, 5831, 5832, 58497, 585, 5910, 5980, 60386, 60561, 6091, 6239, 6263, 6309, 633, 63895, 64093, 64131, 64132, 64135, 64175, 64324, 64412, 64856, 649, 6497, 65055, 65267, 6536, 658, 6595, 6611, 6622, 6638, 667, 6678, 6711, 6811, 6812, 6857, 6872, 6885, 6899, 6913, 7030, 7042, 7043, 7046, 7054, 7136, 7169, 7170, 7273, 7290, 7291, 7319, 7353, 7355, 7443, 7468, 7469, 7471, 7476, 7481, 7547, 7707, 775, 7862, 79053, 79158, 7920, 79576, 79659, 79738, 79753, 79813, 79867, 79875, 79879, 80036, 80173, 80184, 80199, 80267, 80347, 8076, 81031, 8139, 81839, 81846, 8200, 8242, 8292, 8314, 84068, 84100, 84162, 84265, 84320, 84466, 8449, 84665, 84879, 84896, 84942, 84984, 8506, 8516, 8626, 8642, 871, 875, 8898, 8985, 89866, 90952, 90993, 9101, 9150, 91574, 9158, 91754, 9179, 9200, 92002, 9230, 92344, 9244, 92482, 9256, 9276, 9321, 9382, 9401, 9419, 9427, 9469, 9487, 9488, 953, 9632, 9775, 9853, 9871, 9927, 9935, 9939, 9949",55,4,406,461
