Gene Set Name,# Genes DB1,# Genes DB2,# Common,Union Size,% Similarity
Abnormal corneal thickness,155,34,34,155,21.94
Abnormal coronary artery origin,8,4,3,9,33.33
Abnormal corpus striatum morphology,43,37,36,44,81.82
Abnormal cortical bone morphology,611,76,75,612,12.25
Abnormal corticospinal tract morphology,50,12,12,50,24.0
Abnormal curvature of the vertebral column,1518,815,815,1518,53.69
Abnormal dark-adapted bright flash electroretinogram,19,10,10,19,52.63
Abnormal dental root morphology,58,37,34,61,55.74
Abnormal drinking behavior,53,5,5,53,9.43
Abnormal duodenum morphology,87,9,9,87,10.34
Abnormal ear morphology,1737,196,196,1737,11.28
Abnormal eating behavior,129,84,74,139,53.24
Abnormal electroretinogram,366,169,169,366,46.17
Abnormal emotional state,711,363,362,712,50.84
Abnormal endocrine morphology,118,48,48,118,40.68
Abnormal energy expenditure,12,7,7,12,58.33
Abnormal enzyme concentration or activity,744,511,511,744,68.68
Abnormal eosinophil morphology,73,50,48,75,64.0
Abnormal erythrocyte enzyme concentration or activity,49,25,25,49,51.02
Abnormal erythrocyte morphology,1245,534,528,1251,42.21
Abnormal external nose morphology,990,24,24,990,2.42
Abnormal eyelash morphology,343,158,158,343,46.06
Abnormal facial expression,191,61,61,191,31.94
Abnormal facial skeleton morphology,1667,924,921,1670,55.15
Abnormal fallopian tube morphology,27,27,23,31,74.19
Abnormal female reproductive system physiology,385,112,112,385,29.09
Abnormal femur morphology,702,30,30,702,4.27
Abnormal fetal cardiovascular morphology,53,55,42,66,63.64
Abnormal fetal genitourinary system morphology,13,2,2,13,15.38
Abnormal fetal morphology,371,266,243,394,61.68
Abnormal fontanelle morphology,240,19,19,240,7.92
Abnormal foot morphology,1783,161,161,1783,9.03
Abnormal full-field electroretinogram,328,122,122,328,37.2
Abnormal globus pallidus morphology,27,7,7,27,25.93
Abnormal hallux morphology,213,5,5,213,2.35
Abnormal hard palate morphology,85,69,57,97,58.76
Abnormal head blood vessel morphology,83,7,7,83,8.43
Abnormal head movements,41,39,30,50,60.0
Abnormal heart valve morphology,381,270,263,388,67.78
Abnormal helix morphology,189,155,155,189,82.01
Abnormal hemoglobin concentration,20,16,16,20,80.0
Abnormal hindbrain morphology,1071,744,743,1072,69.31
Abnormal ileum morphology,45,3,3,45,6.67
Abnormal immune serum protein physiology,48,30,30,48,62.5
Abnormal incisor morphology,78,44,43,79,54.43
Abnormal intrahepatic bile duct morphology,32,5,5,32,15.62
Abnormal iris pigmentation,148,23,23,148,15.54
Abnormal joint morphology,1486,374,373,1487,25.08
Abnormal lacrimal duct morphology,57,3,3,57,5.26
Abnormal larynx morphology,164,111,107,168,63.69
Abnormal lateral ventricle morphology,131,28,28,131,21.37
Abnormal left ventricular end-diastolic volume,23,10,10,23,43.48
Abnormal length of corpus callosum,10,2,2,10,20.0
Abnormal leukocyte enzyme concentration or activity,5,5,5,5,100.0
Abnormal limb epiphysis morphology,189,101,100,190,52.63
Abnormal liver enzyme activity or concentration,14,13,12,15,80.0
Abnormal liver metabolite concentration,209,167,160,216,74.07
Abnormal liver physiology,27,16,16,27,59.26
Abnormal lower limb epiphysis morphology,148,65,62,151,41.06
Abnormal lung lobation,44,20,20,44,45.45
Abnormal lymphatic vessel morphology,18,20,15,23,65.22
Abnormal macrophage morphology,48,44,43,49,87.76
Abnormal mast cell morphology,8,8,7,9,77.78
Abnormal mean corpuscular volume,63,18,18,63,28.57
Abnormal metabolism,165,180,149,196,76.02
Abnormal metaphyseal trabeculation,26,19,18,27,66.67
Abnormal middle phalanx morphology of the hand,71,57,57,71,80.28
Abnormal mitochondria in muscle tissue,48,50,44,54,81.48
Abnormal mitral valve physiology,210,110,110,210,52.38
Abnormal morphology of the great vessels,826,150,149,827,18.02
Abnormal morphology of the limbic system,52,43,40,55,72.73
Abnormal morphology of the olfactory bulb,36,30,30,36,83.33
Abnormal morphology of ulna,177,15,14,178,7.87
Abnormal motor evoked potentials,12,5,5,12,41.67
Abnormal muscle fiber alpha dystroglycan,12,15,12,15,80.0
Abnormal muscle fiber morphology,294,245,245,294,83.33
Abnormal muscle tissue metabolite concentration,64,50,49,65,75.38
Abnormal nail attachment,24,17,17,24,70.83
Abnormal nasal septum morphology,25,18,13,30,43.33
Abnormal nasal skeleton morphology,12,12,8,16,50.0
Abnormal nasolacrimal system morphology,83,65,63,85,74.12
Abnormal nasopharynx morphology,200,140,137,203,67.49
Abnormal negative emotional state,5,10,3,12,25.0
Abnormal neuron morphology,85,70,70,85,82.35
Abnormal nonverbal communicative behavior,121,47,47,121,38.84
Abnormal number of teeth,864,154,154,864,17.82
Abnormal odontoid process morphology,34,26,25,35,71.43
Abnormal ossification involving the femoral head and neck,25,28,22,31,70.97
Abnormal ovarian morphology,179,60,60,179,33.52
Abnormal palate morphology,1503,705,704,1504,46.81
Abnormal palmar dermatoglyphics,769,166,164,771,21.27
Abnormal pelvic girdle bone morphology,973,426,425,974,43.63
Abnormal pelvis bone morphology,22,5,5,22,22.73
Abnormal pericardium morphology,84,61,57,88,64.77
Abnormal peripheral myelination,113,98,95,116,81.9
Abnormal peristalsis,25,20,16,29,55.17
Abnormal periungual morphology,23,18,18,23,78.26
Abnormal phagocytosis,5,3,3,5,60.0
Abnormal phalangeal joint morphology of the hand,296,5,4,297,1.35
Abnormal pituitary gland morphology,360,48,48,360,13.33
Abnormal pleura morphology,248,141,140,249,56.22
Abnormal portal venous system morphology,11,12,10,13,76.92
Abnormal posturing,7,11,5,13,38.46
Abnormal proximal phalanx morphology of the hand,29,29,27,31,87.1
Abnormal psychotic pattern,164,86,76,174,43.68
Abnormal pulmonary valve morphology,57,5,5,57,8.77
Abnormal pulmonary valve physiology,183,13,12,184,6.52
Abnormal rapid eye movement sleep,21,22,16,27,59.26
Abnormal relationship,16,18,16,18,88.89
Abnormal renal cortex morphology,257,191,188,260,72.31
Abnormal renal morphology,1159,313,313,1159,27.01
Abnormal renal physiology,745,585,580,750,77.33
Abnormal retinal morphology,1120,771,770,1121,68.69
Abnormal retinal vascular morphology,457,223,219,461,47.51
Abnormal salivary gland morphology,28,22,21,29,72.41
Abnormal sclera morphology,643,119,112,650,17.23
Abnormal shoulder morphology,114,9,9,114,7.89
Abnormal size of pituitary gland,31,27,23,35,65.71
Abnormal skull base morphology,739,168,168,739,22.73
Abnormal speech discrimination,5,5,3,7,42.86
Abnormal sperm tail morphology,49,33,33,49,67.35
Abnormal systemic arterial morphology,604,75,74,605,12.23
Abnormal tarsal ossification,9,9,8,10,80.0
Abnormal temper tantrums,37,5,5,37,13.51
Abnormal testis morphology,977,685,671,991,67.71
Abnormal thalamus morphology,51,37,37,51,72.55
Abnormal thymus morphology,59,50,49,60,81.67
Abnormal tissue enzyme concentration or activity,104,86,86,104,82.69
Abnormal toe morphology,1089,368,368,1089,33.79
Abnormal toe phalanx morphology,157,9,9,157,5.73
Abnormal toenail morphology,164,75,72,167,43.11
Abnormal tongue physiology,101,2,2,101,1.98
Abnormal tricuspid valve physiology,119,61,59,121,48.76
Abnormal upper limb metaphysis morphology,18,17,16,19,84.21
Abnormal ureter morphology,157,111,106,162,65.43
Abnormal urine carbohydrate level,41,4,4,41,9.76
Abnormal urine magnesium concentration,10,11,8,13,61.54
Abnormal urine sodium concentration,18,8,7,19,36.84
Abnormal uterine cervix morphology,41,21,11,51,21.57
Abnormal uterus morphology,178,48,48,178,26.97
Abnormal vascular morphology,1258,978,956,1280,74.69
Abnormal ventricular axis,5,15,5,15,33.33
Abnormal ventricular septum morphology,638,363,358,643,55.68
Abnormal vertebral segmentation and fusion,11,6,6,11,54.55
Abnormal waist to hip ratio,36,32,28,40,70.0
Abnormal wrist physiology,31,11,10,32,31.25
Abnormality iris morphology,533,63,63,533,11.82
Abnormality of alkaline phosphatase level,137,37,37,137,27.01
Abnormality of blood circulation,392,188,188,392,47.96
Abnormality of chorioretinal pigmentation,16,12,11,17,64.71
Abnormality of chromosome segregation,14,10,10,14,71.43
Abnormality of connective tissue,1826,811,811,1826,44.41
Abnormality of cytokine secretion,7,7,5,9,55.56
Abnormality of dental structure,813,256,254,815,31.17
Abnormality of endocrine pancreas physiology,31,35,31,35,88.57
Abnormality of facial musculature,348,211,210,349,60.17
Abnormality of fibrinolysis,7,1,1,7,14.29
Abnormality of fluid regulation,800,156,156,800,19.5
Abnormality of humoral immunity,356,178,178,356,50.0
Abnormality of jaw muscles,33,26,23,36,63.89
Abnormality of lens shape,49,21,20,50,40.0
Abnormality of neuronal migration,476,391,379,488,77.66
Abnormality of neutrophils,274,162,162,274,59.12
Abnormality of pain sensation,112,35,34,113,30.09
Abnormality of peripheral nerve conduction,150,132,132,150,88.0
Abnormality of prenatal development or birth,1118,584,583,1119,52.1
Abnormality of prothrombin,102,8,8,102,7.84
Abnormality of renal excretion,74,68,63,79,79.75
Abnormality of spinal facet joint,5,6,4,7,57.14
Abnormality of superoxide metabolism,5,9,4,10,40.0
Abnormality of the anterior commissure,8,4,4,8,50.0
Abnormality of the autonomic nervous system,305,249,239,315,75.87
Abnormality of the bladder,557,331,312,576,54.17
Abnormality of the breast,472,241,241,472,51.06
Abnormality of the dentition,1322,647,647,1322,48.94
Abnormality of the distal phalanges of the toes,30,23,22,31,70.97
Abnormality of the foot musculature,12,11,10,13,76.92
Abnormality of the gingiva,261,42,42,261,16.09
Abnormality of the glabella,29,24,23,30,76.67
Abnormality of the intrinsic pathway,38,53,33,58,56.9
Abnormality of the lower urinary tract,901,147,147,901,16.32
Abnormality of the menstrual cycle,329,75,75,329,22.8
Abnormality of the middle phalanx of the 5th finger,25,19,17,27,62.96
Abnormality of the neck,1131,350,350,1131,30.95
Abnormality of the ovary,238,192,183,247,74.09
Abnormality of the pancreas,335,251,243,343,70.85
Abnormality of the parathyroid gland,100,69,69,100,69.0
Abnormality of the phalanges of the 2nd finger,18,4,4,18,22.22
Abnormality of the plantar skin of foot,173,24,24,173,13.87
Abnormality of the proximal phalanx of the 5th finger,5,4,4,5,80.0
Abnormality of the pulmonary veins,90,62,58,94,61.7
Abnormality of the pylorus,112,69,66,115,57.39
Abnormality of the tarsal bones,171,87,86,172,50.0
Abnormality of the tonsils,40,22,18,44,40.91
Abnormality of the upper arm,15,5,5,15,33.33
Abnormality of the upper limb,1945,1235,1230,1950,63.08
Abnormality of the upper urinary tract,1501,141,140,1502,9.32
Abnormality of the urethra,469,48,48,469,10.23
Abnormality of the vertebral column,1765,1089,1084,1770,61.24
Abnormality of the wrist,651,99,97,653,14.85
Abnormality of thyroid physiology,430,271,266,435,61.15
Abnormality of upper lip vermillion,493,354,351,496,70.77
Abnormality of venous physiology,11,5,5,11,45.45
Abnormality on pulmonary function testing,219,182,167,234,71.37
Abnormally folded helix,94,25,25,94,26.6
Absence of pubertal development,31,30,29,32,90.62
Absence of secondary sex characteristics,44,41,41,44,93.18
Absence of the sacrum,10,9,9,10,90.0
Absent brainstem auditory responses,12,11,11,12,91.67
Absent facial hair,38,28,28,38,73.68
Absent foveal reflex,20,17,16,21,76.19
Absent hair,61,29,29,61,47.54
Absent inner dynein arms,9,16,7,18,38.89
Absent pubertal growth spurt,5,4,3,6,50.0
Absent pubic hair,9,10,8,11,72.73
Absent toenail,19,11,11,19,57.89
Accelerated skeletal maturation,68,54,52,70,74.29
Acephalic spermatozoa,7,6,6,7,85.71
Achilles tendon contracture,54,39,39,54,72.22
Achromatopsia,5,5,5,5,100.0
Acquired abnormal hair pattern,46,3,3,46,6.52
Action tremor,211,54,54,211,25.59
Acute hepatic failure,35,37,27,45,60.0
Acute infectious pneumonia,6,3,2,7,28.57
Acute lymphoblastic leukemia,38,37,35,40,87.5
Acute myeloid leukemia,76,46,46,76,60.53
Acute rhabdomyolysis,5,6,5,6,83.33
Adenocarcinoma of the intestines,58,41,33,66,50.0
Adenocarcinoma of the small intestine,27,11,9,29,31.03
Adipose tissue loss,32,36,24,44,54.55
Adrenal hypoplasia,35,24,22,37,59.46
Adrenocortical adenoma,9,17,9,17,52.94
Adrenocortical carcinoma,19,14,14,19,73.68
Adult onset,1184,804,800,1188,67.34
Agammaglobulinemia,21,21,17,25,68.0
Aggressive behavior,303,213,212,304,69.74
Agyria,18,13,13,18,72.22
Albinism,20,19,19,20,95.0
Allodynia,5,7,5,7,71.43
Alopecia universalis,11,4,4,11,36.36
Amaurosis fugax,42,25,22,45,48.89
Amyotrophic lateral sclerosis,49,51,48,52,92.31
Anal atresia,134,102,93,143,65.03
Anarthria,16,17,15,18,83.33
Androgen insufficiency,5,8,4,9,44.44
Angina pectoris,36,5,5,36,13.89
Angiofibromas,30,25,24,31,77.42
Angiosarcoma,2,1,1,2,50.0
Angulated muscle fibers,8,2,1,9,11.11
Anhidrosis,38,27,23,42,54.76
Ankle pain,6,5,4,7,57.14
Ankyloblepharon,16,4,4,16,25.0
Anophthalmia,70,56,54,72,75.0
Anorectal anomaly,181,15,15,181,8.29
Anorexia,128,70,64,134,47.76
Anosmia,50,25,25,50,50.0
Anterior encephalocele,18,5,5,18,27.78
Anterior pituitary agenesis,10,11,10,11,90.91
Anterior uveitis,18,8,7,19,36.84
Anti-thyroglobulin antibody positivity,9,5,5,9,55.56
Antineutrophil antibody positivity,57,52,43,66,65.15
Antinuclear antibody positivity,74,57,55,76,72.37
Aortic aneurysm,190,84,83,191,43.46
Aortic arch aneurysm,42,9,9,42,21.43
Aortic valve calcification,10,16,7,19,36.84
Aplasia cutis congenita,43,33,33,43,76.74
Aplasia cutis congenita over the scalp vertex,7,9,6,10,60.0
Aplasia of the ulna,5,5,5,5,100.0
Appendicular spasticity,438,282,280,440,63.64
Apraxia,221,134,133,222,59.91
Aqueductal stenosis,28,21,19,30,63.33
Areflexia,322,247,243,326,74.54
Arterial thrombosis,33,30,29,34,85.29
Arthralgia of the hip,9,8,6,11,54.55
Aspiration,38,9,8,39,20.51
Aspiration pneumonia,98,35,34,99,34.34
Astrocytoma,25,30,24,31,77.42
Asymmetric septal hypertrophy,13,15,11,17,64.71
Athetosis,178,16,16,178,8.99
Atlantoaxial abnormality,14,25,13,26,50.0
Atresia of the external auditory canal,57,11,10,58,17.24
Atrial flutter,21,19,17,23,73.91
Atrioventricular canal defect,69,50,50,69,72.46
Atrophic scars,63,24,24,63,38.1
Atypical behavior,1687,305,305,1687,18.08
Autoimmune thrombocytopenia,39,23,23,39,58.97
Autoimmunity,313,282,258,337,76.56
Axial dystonia,16,15,14,17,82.35
Axillary freckling,5,4,4,5,80.0
Axillary pterygium,12,11,10,13,76.92
Barrett esophagus,7,5,5,7,71.43
Bifid distal phalanx of the thumb,5,3,3,5,60.0
Bifid epiglottis,7,4,3,8,37.5
Bilateral choanal atresia,10,2,2,10,20.0
Bilateral single transverse palmar creases,79,38,36,81,44.44
Bilateral tonic-clonic seizure with focal onset,54,20,20,54,37.04
Bile duct proliferation,23,25,17,31,54.84
Biliary atresia,13,12,9,16,56.25
Biliary tract abnormality,115,106,100,121,82.64
Biliary tract neoplasm,16,25,16,25,64.0
Blepharophimosis,158,89,86,161,53.42
Blindness,347,169,168,348,48.28
Blue nevus,11,7,6,12,50.0
Blurred vision,46,41,33,54,61.11
Bone cyst,28,26,25,29,86.21
Bone marrow hypocellularity,628,54,51,631,8.08
Bowed humerus,10,11,8,13,61.54
Bradycardia,100,45,45,100,45.0
Brain stem compression,14,13,12,15,80.0
Breech presentation,73,14,9,78,11.54
Broad alveolar ridges,15,9,7,17,41.18
Broad columella,14,8,7,15,46.67
Broad distal phalanx of finger,27,23,22,28,78.57
Broad eyebrow,30,16,16,30,53.33
Broad first metatarsal,6,4,4,6,66.67
Broad foot,590,30,30,590,5.08
Broad forehead,293,57,57,293,19.45
Broad metatarsal,13,10,10,13,76.92
Broad nasal tip,165,96,94,167,56.29
Broad phalanges of the hand,632,62,62,632,9.81
Broad thumb,620,73,73,620,11.77
Bronchomalacia,39,23,19,43,44.19
Bruxism,39,4,4,39,10.26
Cachexia,98,23,22,99,22.22
Cafe-au-lait spot,131,30,30,131,22.9
Calcific stippling,5,5,4,6,66.67
Calcification of cartilage,12,10,10,12,83.33
Calf muscle pseudohypertrophy,20,16,15,21,71.43
Calvarial hyperostosis,9,15,8,16,50.0
Calvarial osteosclerosis,8,11,8,11,72.73
Camptodactyly of toe,44,6,6,44,13.64
Capillary hemangioma,38,29,27,40,67.5
Carcinoid tumor,12,12,10,14,71.43
Cardiac rhabdomyoma,5,4,4,5,80.0
Cardiomegaly,139,92,91,140,65.0
Carotid artery stenosis,7,14,7,14,50.0
Caudate atrophy,15,5,5,15,33.33
Centrally nucleated skeletal muscle fibers,60,54,49,65,75.38
Cerebellar atrophy,462,380,378,464,81.47
Cerebellar dentate nucleus calcification,8,6,6,8,75.0
Cerebellar hemisphere hypoplasia,8,11,5,14,35.71
Cerebral arteriovenous malformation,7,10,7,10,70.0
Cerebral cavernous malformation,5,9,5,9,55.56
Cerebral hamartoma,21,15,14,22,63.64
Cerebral hemorrhage,72,56,53,75,70.67
Cerebral inclusion bodies,52,46,44,54,81.48
Cerebral visual impairment,184,39,39,184,21.2
Cervical kyphosis,23,6,5,24,20.83
Cervical lymphadenopathy,10,17,9,18,50.0
Cheilitis,59,41,40,60,66.67
Chiari malformation,134,30,30,134,22.39
Chilblains,12,6,6,12,50.0
Childhood onset sensorineural hearing impairment,19,29,13,35,37.14
Chills,21,12,12,21,57.14
Cholangiocarcinoma,8,17,8,17,47.06
Cholangitis,28,11,11,28,39.29
Chondrocalcinosis,22,6,6,22,27.27
Choreoathetosis,135,52,52,135,38.52
Chorioretinal atrophy,60,34,34,60,56.67
Chorioretinal coloboma,51,15,15,51,29.41
Chronic bronchitis,29,18,18,29,62.07
Chronic infection,26,26,21,31,67.74
Chronic leukemia,23,14,14,23,60.87
Chronic pain,13,19,9,23,39.13
Chronic pulmonary obstruction,37,29,25,41,60.98
Chronic rhinitis,62,12,12,62,19.35
Cirrhosis,167,149,136,180,75.56
Cleft upper lip,237,45,45,237,18.99
Clitoral hypertrophy,69,37,32,74,43.24
Clitoral hypoplasia,33,15,13,35,37.14
Clonus,131,88,85,134,63.43
Cloverleaf skull,8,8,7,9,77.78
Clumsiness,95,20,20,95,21.05
Coarctation of aorta,155,111,111,155,71.61
Coiled sperm flagella,36,33,31,38,81.58
Colon cancer,51,56,39,68,57.35
Color vision defect,222,65,65,222,29.28
Color vision test abnormality,10,8,8,10,80.0
Combined immunodeficiency,43,38,38,43,88.37
Complete atrioventricular canal defect,18,18,14,22,63.64
Complete right bundle branch block,57,11,11,57,19.3
Congenital contracture,193,149,144,198,72.73
Congenital finger flexion contractures,38,11,10,39,25.64
Congenital giant melanocytic nevus,7,7,7,7,100.0
Congenital hypoplastic anemia,5,2,2,5,40.0
Congenital onset,1177,953,947,1183,80.05
Conical tooth,57,34,33,58,56.9
Conjunctival hyperemia,8,1,1,8,12.5
Convex nasal ridge,119,50,50,119,42.02
Cor pulmonale,15,2,2,15,13.33
Corneal dystrophy,39,23,22,40,55.0
Corneal erosion,111,15,15,111,13.51
Corneal guttata,6,4,4,6,66.67
Corneal neovascularization,27,21,21,27,77.78
Corneal ulceration,90,6,6,90,6.67
Coronal cleft vertebrae,42,13,13,42,30.95
Coronary artery aneurysm,7,5,5,7,71.43
Cough,167,94,90,171,52.63
Cranial asymmetry,16,2,2,16,12.5
Cranial nerve compression,610,29,27,612,4.41
Craniofacial asymmetry,6,13,4,15,26.67
Craniofacial osteosclerosis,16,17,15,18,83.33
Crumpled ear,33,6,6,33,18.18
Cupped ribs,30,18,18,30,60.0
Curly hair,36,10,10,36,27.78
Cutaneous cyst,25,20,19,26,73.08
Cutaneous finger syndactyly,57,44,44,57,77.19
Cutaneous melanoma,22,18,18,22,81.82
Cutaneous syndactyly of toes,36,22,20,38,52.63
Cutis gyrata of scalp,6,6,4,8,50.0
Death in adolescence,23,3,3,23,13.04
Death in adulthood,43,34,32,45,71.11
Death in childhood,138,98,92,144,63.89
Decreased body weight,1962,1111,1099,1974,55.67
Decreased circulating androgen concentration,70,57,54,73,73.97
Decreased circulating copper concentration,8,8,6,10,60.0
Decreased circulating parathyroid hormone level,10,6,6,10,60.0
Decreased circulating renin concentration,13,4,4,13,30.77
Decreased glomerular filtration rate,30,23,21,32,65.62
Decreased head circumference,1766,976,967,1775,54.48
Decreased mean corpuscular hemoglobin concentration,6,5,4,7,57.14
Decreased miniature endplate potentials,13,14,12,15,80.0
Decreased number of large peripheral myelinated nerve fibers,20,18,17,21,80.95
Decreased testicular size,188,129,126,191,65.97
Decreased total granulocyte count,8,4,4,8,50.0
Decreased urine output,30,25,23,32,71.88
Deep venous thrombosis,22,21,18,25,72.0
Degeneration of anterior horn cells,21,18,16,23,69.57
Degeneration of the striatum,13,3,3,13,23.08
Dehydration,113,79,78,114,68.42
Delayed epiphyseal ossification,57,20,20,57,35.09
Delayed gross motor development,1002,153,153,1002,15.27
Delayed somatosensory central conduction time,5,9,4,10,40.0
Delirium,10,6,5,11,45.45
Dementia,231,191,182,240,75.83
Demyelinating motor neuropathy,6,12,6,12,50.0
Demyelinating peripheral neuropathy,65,24,24,65,36.92
Dental malocclusion,186,40,40,186,21.51
Dermal translucency,50,7,7,50,14.0
Dermatological manifestations of systemic disorders,352,303,293,362,80.94
Developmental glaucoma,75,44,43,76,56.58
Deviation of the thumb,55,27,26,56,46.43
Deviation of toes,646,64,63,647,9.74
Diaphragmatic weakness,17,16,15,18,83.33
Diaphyseal dysplasia,5,7,5,7,71.43
Diarrhea,463,206,206,463,44.49
Difficulty standing,23,4,3,24,12.5
Diffuse cerebellar atrophy,21,19,11,29,37.93
Diffuse palmoplantar hyperkeratosis,10,6,6,10,60.0
Digenic inheritance,16,11,11,16,68.75
Digestive system neoplasm,356,173,173,356,48.6
Dilatation of the bladder,12,13,11,14,78.57
Dilated cardiomyopathy,186,147,137,196,69.9
Dilated third ventricle,16,25,13,28,46.43
Dimple chin,19,1,1,19,5.26
Discoid lupus rash,39,30,28,41,68.29
Disproportionate short stature,159,106,103,162,63.58
Distal lower limb amyotrophy,65,47,47,65,72.31
Distal lower limb muscle weakness,100,94,91,103,88.35
Distal peripheral sensory neuropathy,20,3,3,20,15.0
Distal symphalangism,8,6,6,8,75.0
Dolichocephaly,237,27,27,237,11.39
Drusen,120,96,92,124,74.19
Dry skin,200,128,127,201,63.18
Duplicated collecting system,26,16,13,29,44.83
Duplication of thumb phalanx,63,24,20,67,29.85
Dynein arm defect of respiratory motile cilia,19,12,12,19,63.16
Dysgammaglobulinemia,5,6,3,8,37.5
Dyskinesia,207,157,145,219,66.21
Dysphagia,572,354,350,576,60.76
Dysphonia,158,18,18,158,11.39
Dyspnea,540,349,348,541,64.33
Dystrophic fingernails,32,27,21,38,55.26
Ear pain,15,2,2,15,13.33
Early young adult onset,64,50,48,66,72.73
Easy fatigability,662,47,47,662,7.1
Ebstein anomaly of the tricuspid valve,6,3,3,6,50.0
Ecchymosis,86,53,52,87,59.77
Eclabion,176,71,70,177,39.55
Ectodermal dysplasia,27,24,23,28,82.14
Ectopia lentis,80,28,28,80,35.0
Ectopia pupillae,23,4,4,23,17.39
Ectopic anterior pituitary gland,9,5,5,9,55.56
Ectropion,136,42,40,138,28.99
Elbow contracture,179,40,40,179,22.35
Elevated circulating aldolase concentration,9,9,8,10,80.0
Elevated circulating aspartate aminotransferase concentration,89,62,61,90,67.78
Elevated circulating growth hormone concentration,17,9,9,17,52.94
Elevated circulating porphyrin concentration,8,7,6,9,66.67
Elevated hepatic iron concentration,12,14,9,17,52.94
Elevated urinary delta-aminolevulinic acid,5,5,5,5,100.0
Elevated urinary vanillylmandelic acid,8,8,7,9,77.78
Embryonal renal neoplasm,49,10,10,49,20.41
Emotional lability,168,23,23,168,13.69
Emphysema,75,46,33,88,37.5
Enamel hypomineralization,10,12,10,12,83.33
Enlarged cerebellum,7,1,1,7,14.29
Enlarged epiphyses,30,15,13,32,40.62
Enlarged interphalangeal joints,6,2,2,6,33.33
Enlarged joints,29,12,12,29,41.38
Enlarged kidney,49,22,22,49,44.9
Enlarged ovaries,18,9,9,18,50.0
Enlarged posterior fossa,203,98,96,205,46.83
Enlarged sylvian cistern,5,2,2,5,40.0
Enterocolitis,32,14,13,33,39.39
Entrapment neuropathy,18,19,13,24,54.17
Enuresis,34,20,20,34,58.82
Epicanthus,1062,81,81,1062,7.63
Epidermal acanthosis,55,36,35,56,62.5
Epididymitis,21,3,3,21,14.29
Epilepsia partialis continua,12,7,7,12,58.33
Epileptic spasm,214,66,66,214,30.84
Erectile dysfunction,79,52,47,84,55.95
Erosion of oral mucosa,108,77,77,108,71.3
Eruption failure,17,17,12,22,54.55
Erythroid hyperplasia,20,22,17,25,68.0
Esophageal atresia,35,24,21,38,55.26
Everted lower lip vermilion,143,80,78,145,53.79
Excessive salivation,171,55,53,173,30.64
Exercise-induced muscle stiffness,8,5,4,9,44.44
Exercise-induced rhabdomyolysis,6,6,6,6,100.0
