Gene Set Name,Common Genes,Newly Added Genes,Lost Genes,# Common,# New,# Lost,# Original
Abnormal blistering of the skin,"10277, 10312, 10320, 1041, 1186, 1230, 127534, 1294, 1308, 1475, 149233, 171023, 1736, 1825, 1828, 1830, 1832, 1893, 23013, 2531, 2563, 26277, 2697, 2707, 29887, 3106, 3119, 3123, 3339, 337867, 340024, 340665, 3459, 355, 3586, 3592, 3655, 3675, 3691, 3728, 3815, 3848, 3849, 3852, 3857, 3858, 3861, 3868, 3872, 3909, 3914, 3918, 4210, 4312, 473, 4869, 5073, 50943, 51750, 51752, 5339, 54790, 54800, 54897, 5498, 55612, 55739, 5590, 56916, 57393, 5777, 63976, 641, 6427, 64682, 6497, 667, 673, 6775, 7012, 7015, 7099, 720, 7298, 7389, 7390, 7798, 79650, 80169, 8302, 8514, 8517, 8600, 861, 867, 9333, 9401, 977",,"101928376, 10630, 1280, 1371, 1763, 23086, 23219, 2623, 362, 3853, 3854, 5317, 55135, 55505, 55630, 55651, 831, 8510",98,0,18,116
Abnormal blood gas level,"2022, 3043, 57190, 6261, 6439, 7015, 727897, 8929, 9361",,"10144, 10559, 10568, 1438, 1439, 1832, 21, 2200, 2261, 23019, 23250, 23414, 246329, 2627, 27245, 29967, 3123, 3679, 4141, 440275, 4625, 4633, 4728, 5073, 51651, 51750, 51776, 56244, 58, 6005, 6006, 6007, 6440, 653509, 6609, 6662, 7012, 7080, 7169, 7170, 729238, 779, 79991, 91039, 9200, 959",9,0,46,55
Abnormal blood inorganic cation concentration,"100134444, 10056, 10155, 1026, 1027, 1028, 10297, 1030, 10312, 10568, 10686, 11281, 114049, 1175, 1186, 1187, 1188, 120227, 129563, 129607, 1312, 135886, 140803, 1436, 147372, 149461, 1497, 149775, 155368, 155382, 1576, 1591, 1594, 1621, 1743, 1758, 1788, 1950, 197131, 2006, 2034, 221037, 2271, 229, 23095, 23175, 23516, 249, 2556, 2591, 2625, 2719, 2767, 2778, 2783, 2812, 283120, 28962, 2969, 29887, 3030, 3032, 3117, 3119, 3123, 326, 37, 3712, 3758, 3766, 3939, 3984, 406932, 4149, 4191, 421, 4221, 4512, 4514, 476, 4763, 4854, 486, 5092, 50943, 51085, 5159, 51604, 5167, 5251, 5286, 54487, 54532, 54805, 54809, 54949, 5495, 55151, 55532, 55636, 55654, 55811, 56172, 56244, 5741, 5745, 595, 596, 5978, 5979, 6023, 604, 6239, 6261, 6389, 6390, 63901, 6391, 6392, 64116, 64324, 6519, 6521, 6523, 653361, 6557, 6559, 6569, 6575, 6804, 6899, 6905, 695, 7074, 7204, 7227, 7290, 7353, 7421, 7428, 7461, 7490, 760, 775, 779, 7809, 78987, 79087, 79577, 79633, 79823, 8074, 83483, 8402, 84033, 8456, 846, 8468, 857, 8600, 8675, 8792, 9031, 9071, 9247, 9319, 9365, 9508, 9569, 9581, 9632, 9842","2936, 6648, 847","1031, 130340, 142680, 26525, 26608, 3492, 50628, 5155, 5442, 54914, 54938, 55764, 58528, 5982, 64864, 675, 7458, 7543, 79879, 8214, 8220, 84163, 84277, 84876, 9213, 9646, 9993",172,3,27,199
Abnormal blood sodium concentration,"10587, 10916, 1187, 1188, 1371, 148022, 1497, 1583, 1585, 1811, 190, 210, 2260, 23530, 29110, 3145, 359, 3662, 4158, 4306, 4952, 5076, 5087, 51567, 5314, 54809, 554, 5551, 56246, 58528, 6329, 6338, 6340, 6523, 6550, 6850, 7098, 7187, 763, 771, 7809, 78987, 79053, 83483, 8518, 9095, 9451, 9915","6446, 6559","10102, 1130, 130340, 1828, 199221, 26525, 2653, 29072, 3284, 471, 4714, 4791, 50628, 5447, 54914, 54938, 5498, 6337, 6770, 79087, 8021, 81622",48,2,22,70
Abnormal blood urea nitrogen concentration,"10878, 11093, 1497, 22909, 3075, 3426, 4179, 554, 56606, 629, 718, 7369",,"116085, 1161, 1621, 2072, 2074, 29927, 3078, 506, 51081, 5277, 54938, 7056, 8518",12,0,13,25
Abnormal blood zinc concentration,"4312, 55630, 64116, 7780, 9056","1390, 1583, 1956, 596","1294, 3376, 9051",5,4,3,8
Abnormal brain positron emission tomography,"25978, 27235, 2896, 348, 5290, 54209, 54664, 5621, 5663, 5664, 7415, 8314",,"207, 4137, 4771, 5155, 51684, 6598, 6605, 6608, 7015, 84231, 8878, 9881",12,0,12,24
Abnormal branching pattern of the aortic arch,"10526, 118856, 137814, 1387, 168507, 2033, 23129, 2324, 25981, 2629, 2657, 5337, 54487, 54916, 55636, 64220, 6899, 7490, 78987, 93, 93627",,"100128908, 10992, 1770, 220136, 5296, 79645, 79989, 80232, 8214, 8220, 9203, 9894, 9993",21,0,13,34
Abnormal bronchoalveolar lavage fluid morphology,"10092, 1314, 1438, 1439, 21, 3123, 4938, 56244, 6439, 6440, 653509, 7015, 7080, 727897, 729238, 826, 9056","196, 6774, 7099","4141, 7012",17,3,2,19
Abnormal calcification of the carpal bones,"4921, 5167",,"10568, 10682, 23592, 368",2,0,4,6
Abnormal calf musculature morphology,"10367, 10585, 146862, 1605, 1674, 1756, 1785, 203859, 2218, 2273, 22954, 2318, 2483, 26278, 274, 29925, 3094, 3156, 367, 3708, 3736, 3908, 4000, 400916, 4618, 4625, 4703, 51776, 5339, 5346, 5376, 5468, 55624, 55679, 55958, 57104, 59341, 6261, 63924, 64208, 64419, 6442, 6443, 6444, 6445, 65055, 6576, 6606, 7273, 7555, 79147, 80208, 825, 8291, 84197, 8425, 84892, 8557, 859, 9215, 9217, 9782",,"10073, 10526, 11117, 1281, 165, 2200, 2201, 2202, 23230, 25, 29954, 30008, 4015, 4054, 4087, 4088, 444, 4882, 4883, 5351, 54344, 55033, 56937, 633, 6497, 7042, 7043, 7046, 7048, 729920, 79875, 8076, 81031, 8449, 875, 9897",62,0,36,98
Abnormal cardiac biomarker test,"1829, 3156, 4878, 5698, 6331, 6840, 7276","1666, 55234, 59272, 64759, 6672, 9022, 9938",,7,7,0,7
