Gene Set Name,# Genes DB1,# Genes DB2,# Common,Union Size,% Similarity
Abnormal dark-adapted bright flash electroretinogram,19,17,16,20,80.0
Abnormal dental root morphology,58,45,34,69,49.28
Abnormal drinking behavior,53,12,11,54,20.37
Abnormal duodenum morphology,87,23,23,87,26.44
Abnormal ear morphology,1737,489,489,1737,28.15
Abnormal eating behavior,129,80,77,132,58.33
Abnormal electroretinogram,366,212,212,366,57.92
Abnormal emotional state,711,380,378,713,53.02
Abnormal endocrine morphology,118,75,75,118,63.56
Abnormal energy expenditure,12,8,8,12,66.67
Abnormal enzyme concentration or activity,744,593,592,745,79.46
Abnormal eosinophil morphology,73,57,51,79,64.56
Abnormal erythrocyte enzyme concentration or activity,49,31,30,50,60.0
Abnormal erythrocyte morphology,1245,583,569,1259,45.19
Abnormal external nose morphology,990,69,69,990,6.97
Abnormal eyelash morphology,343,158,158,343,46.06
Abnormal facial expression,191,110,109,192,56.77
Abnormal facial skeleton morphology,1667,946,943,1670,56.47
Abnormal fallopian tube morphology,27,28,23,32,71.88
Abnormal female reproductive system physiology,385,155,154,386,39.9
Abnormal femur morphology,702,86,86,702,12.25
Abnormal fetal cardiovascular morphology,53,77,43,87,49.43
Abnormal fetal genitourinary system morphology,13,3,2,14,14.29
Abnormal fetal morphology,371,268,251,388,64.69
Abnormal fontanelle morphology,240,29,29,240,12.08
Abnormal foot morphology,1783,355,354,1784,19.84
Abnormal full-field electroretinogram,328,167,167,328,50.91
Abnormal globus pallidus morphology,27,15,15,27,55.56
Abnormal hallux morphology,213,20,20,213,9.39
Abnormal hard palate morphology,85,75,58,102,56.86
Abnormal head blood vessel morphology,83,19,19,83,22.89
Abnormal head movements,41,42,30,53,56.6
Abnormal heart valve morphology,381,297,283,395,71.65
Abnormal helix morphology,189,158,158,189,83.6
Abnormal hemoglobin concentration,20,18,18,20,90.0
Abnormal hindbrain morphology,1071,774,770,1075,71.63
Abnormal ileum morphology,45,7,6,46,13.04
Abnormal immune serum protein physiology,48,37,37,48,77.08
Abnormal incisor morphology,78,54,44,88,50.0
Abnormal intrahepatic bile duct morphology,32,7,6,33,18.18
Abnormal iris pigmentation,148,34,34,148,22.97
Abnormal joint morphology,1486,558,558,1486,37.55
Abnormal lacrimal duct morphology,57,6,5,58,8.62
Abnormal larynx morphology,164,117,110,171,64.33
Abnormal lateral ventricle morphology,131,53,53,131,40.46
Abnormal left ventricular end-diastolic volume,23,18,17,24,70.83
Abnormal length of corpus callosum,10,4,3,11,27.27
Abnormal leukocyte enzyme concentration or activity,5,6,5,6,83.33
Abnormal limb epiphysis morphology,189,106,100,195,51.28
Abnormal liver enzyme activity or concentration,14,17,12,19,63.16
Abnormal liver metabolite concentration,209,183,169,223,75.78
Abnormal liver physiology,27,18,17,28,60.71
Abnormal lower limb epiphysis morphology,148,71,63,156,40.38
Abnormal lung lobation,44,25,22,47,46.81
Abnormal lymphatic vessel morphology,18,24,16,26,61.54
Abnormal macrophage morphology,48,52,44,56,78.57
Abnormal mast cell morphology,8,9,7,10,70.0
Abnormal mean corpuscular volume,63,28,28,63,44.44
Abnormal metabolism,165,186,151,200,75.5
Abnormal metaphyseal trabeculation,26,18,18,26,69.23
Abnormal middle phalanx morphology of the hand,71,59,59,71,83.1
Abnormal mitochondria in muscle tissue,48,57,44,61,72.13
Abnormal mitral valve physiology,210,118,117,211,55.45
Abnormal morphology of the great vessels,826,117,115,828,13.89
Abnormal morphology of the limbic system,52,48,41,59,69.49
Abnormal morphology of the olfactory bulb,36,27,27,36,75.0
Abnormal morphology of ulna,177,30,29,178,16.29
Abnormal motor evoked potentials,12,8,7,13,53.85
Abnormal muscle fiber alpha dystroglycan,12,24,11,25,44.0
Abnormal muscle fiber morphology,294,258,256,296,86.49
Abnormal muscle tissue metabolite concentration,64,59,51,72,70.83
Abnormal nail attachment,24,17,17,24,70.83
Abnormal nasal septum morphology,25,23,17,31,54.84
Abnormal nasal skeleton morphology,12,20,8,24,33.33
Abnormal nasolacrimal system morphology,83,65,64,84,76.19
Abnormal nasopharynx morphology,200,148,143,205,69.76
Abnormal negative emotional state,5,12,2,15,13.33
Abnormal neuron morphology,85,76,76,85,89.41
Abnormal nonverbal communicative behavior,121,47,47,121,38.84
Abnormal number of teeth,864,320,320,864,37.04
Abnormal odontoid process morphology,34,26,25,35,71.43
Abnormal ossification involving the femoral head and neck,25,33,22,36,61.11
Abnormal ovarian morphology,179,85,84,180,46.67
Abnormal palate morphology,1503,733,732,1504,48.67
Abnormal palmar dermatoglyphics,769,172,170,771,22.05
Abnormal pelvic girdle bone morphology,973,426,426,973,43.78
Abnormal pelvis bone morphology,22,9,8,23,34.78
Abnormal pericardium morphology,84,66,59,91,64.84
Abnormal peripheral myelination,113,101,99,115,86.09
Abnormal peristalsis,25,25,18,32,56.25
Abnormal periungual morphology,23,19,18,24,75.0
Abnormal phagocytosis,5,5,5,5,100.0
Abnormal phalangeal joint morphology of the hand,296,15,14,297,4.71
Abnormal pituitary gland morphology,360,90,89,361,24.65
Abnormal pleura morphology,248,148,146,250,58.4
Abnormal portal venous system morphology,11,17,10,18,55.56
Abnormal posturing,7,19,5,21,23.81
Abnormal proximal phalanx morphology of the hand,29,28,28,29,96.55
Abnormal psychotic pattern,164,96,81,179,45.25
Abnormal pulmonary valve morphology,57,12,11,58,18.97
Abnormal pulmonary valve physiology,183,38,37,184,20.11
Abnormal rapid eye movement sleep,21,30,17,34,50.0
Abnormal relationship,16,29,16,29,55.17
Abnormal renal cortex morphology,257,195,193,259,74.52
Abnormal renal morphology,1159,475,475,1159,40.98
Abnormal renal physiology,745,599,587,757,77.54
Abnormal retinal morphology,1120,798,797,1121,71.1
Abnormal retinal vascular morphology,457,241,236,462,51.08
Abnormal salivary gland morphology,28,34,21,41,51.22
Abnormal sclera morphology,643,125,117,651,17.97
Abnormal shoulder morphology,114,19,18,115,15.65
Abnormal size of pituitary gland,31,45,24,52,46.15
Abnormal skull base morphology,739,188,180,747,24.1
Abnormal speech discrimination,5,3,3,5,60.0
Abnormal sperm tail morphology,49,37,37,49,75.51
Abnormal systemic arterial morphology,604,132,131,605,21.65
Abnormal tarsal ossification,9,10,9,10,90.0
Abnormal temper tantrums,37,8,8,37,21.62
Abnormal testis morphology,977,712,706,983,71.82
Abnormal thalamus morphology,51,41,40,52,76.92
Abnormal thymus morphology,59,53,51,61,83.61
Abnormal tissue enzyme concentration or activity,104,96,95,105,90.48
Abnormal toe morphology,1089,379,378,1090,34.68
Abnormal toe phalanx morphology,157,17,17,157,10.83
Abnormal toenail morphology,164,74,72,166,43.37
Abnormal tongue physiology,101,12,11,102,10.78
Abnormal tricuspid valve physiology,119,66,61,124,49.19
Abnormal upper limb metaphysis morphology,18,20,16,22,72.73
Abnormal ureter morphology,157,119,108,168,64.29
Abnormal urine carbohydrate level,41,13,13,41,31.71
Abnormal urine magnesium concentration,10,10,8,12,66.67
Abnormal urine sodium concentration,18,12,11,19,57.89
Abnormal uterine cervix morphology,41,18,11,48,22.92
Abnormal uterus morphology,178,71,70,179,39.11
Abnormal vascular morphology,1258,1007,989,1276,77.51
Abnormal ventricular axis,5,16,5,16,31.25
Abnormal ventricular septum morphology,638,389,384,643,59.72
Abnormal vertebral segmentation and fusion,11,9,8,12,66.67
Abnormal waist to hip ratio,36,37,29,44,65.91
Abnormal wrist physiology,31,12,11,32,34.38
Abnormality iris morphology,533,139,139,533,26.08
Abnormality of alkaline phosphatase level,137,53,53,137,38.69
Abnormality of blood circulation,392,244,243,393,61.83
Abnormality of chorioretinal pigmentation,16,21,11,26,42.31
Abnormality of chromosome segregation,14,12,11,15,73.33
Abnormality of connective tissue,1826,1251,1251,1826,68.51
Abnormality of cytokine secretion,7,6,6,7,85.71
Abnormality of dental structure,813,254,252,815,30.92
Abnormality of endocrine pancreas physiology,31,35,31,35,88.57
Abnormality of facial musculature,348,218,217,349,62.18
Abnormality of fibrinolysis,7,2,2,7,28.57
Abnormality of fluid regulation,800,193,192,801,23.97
Abnormality of humoral immunity,356,215,215,356,60.39
Abnormality of jaw muscles,33,32,24,41,58.54
Abnormality of lens shape,49,25,21,53,39.62
Abnormality of neuronal migration,476,415,401,490,81.84
Abnormality of neutrophils,274,213,213,274,77.74
Abnormality of pain sensation,112,44,43,113,38.05
Abnormality of peripheral nerve conduction,150,134,133,151,88.08
Abnormality of prenatal development or birth,1118,618,617,1119,55.14
Abnormality of prothrombin,102,26,26,102,25.49
Abnormality of renal excretion,74,69,62,81,76.54
Abnormality of spinal facet joint,5,16,4,17,23.53
Abnormality of superoxide metabolism,5,4,4,5,80.0
Abnormality of the anterior commissure,8,7,6,9,66.67
Abnormality of the autonomic nervous system,305,262,250,317,78.86
Abnormality of the bladder,557,362,328,591,55.5
Abnormality of the breast,472,289,289,472,61.23
Abnormality of the dentition,1322,665,665,1322,50.3
Abnormality of the distal phalanges of the toes,30,31,24,37,64.86
Abnormality of the foot musculature,12,12,10,14,71.43
Abnormality of the gingiva,261,81,80,262,30.53
Abnormality of the glabella,29,24,23,30,76.67
Abnormality of the intrinsic pathway,38,63,35,66,53.03
Abnormality of the lower urinary tract,901,252,252,901,27.97
Abnormality of the menstrual cycle,329,102,102,329,31.0
Abnormality of the middle phalanx of the 5th finger,25,18,18,25,72.0
Abnormality of the neck,1131,675,674,1132,59.54
Abnormality of the ovary,238,207,191,254,75.2
Abnormality of the pancreas,335,254,252,337,74.78
Abnormality of the parathyroid gland,100,73,71,102,69.61
Abnormality of the phalanges of the 2nd finger,18,7,6,19,31.58
Abnormality of the plantar skin of foot,173,46,45,174,25.86
Abnormality of the proximal phalanx of the 5th finger,5,4,4,5,80.0
Abnormality of the pulmonary veins,90,72,60,102,58.82
Abnormality of the pylorus,112,70,66,116,56.9
Abnormality of the tarsal bones,171,89,88,172,51.16
Abnormality of the tonsils,40,27,19,48,39.58
Abnormality of the upper arm,15,9,8,16,50.0
Abnormality of the upper limb,1945,1274,1269,1950,65.08
Abnormality of the upper urinary tract,1501,325,324,1502,21.57
Abnormality of the urethra,469,71,70,470,14.89
Abnormality of the vertebral column,1765,1120,1117,1768,63.18
Abnormality of the wrist,651,104,102,653,15.62
Abnormality of thyroid physiology,430,270,267,433,61.66
Abnormality of upper lip vermillion,493,359,358,494,72.47
Abnormality of venous physiology,11,9,8,12,66.67
Abnormality on pulmonary function testing,219,187,173,233,74.25
Abnormally folded helix,94,47,46,95,48.42
Absence of pubertal development,31,31,30,32,93.75
Absence of secondary sex characteristics,44,42,42,44,95.45
Absence of the sacrum,10,9,9,10,90.0
Absent brainstem auditory responses,12,22,11,23,47.83
Absent facial hair,38,30,30,38,78.95
Absent foveal reflex,20,21,17,24,70.83
Absent hair,61,40,40,61,65.57
Absent inner dynein arms,9,16,7,18,38.89
Absent pubertal growth spurt,5,8,3,10,30.0
Absent pubic hair,9,16,8,17,47.06
Absent toenail,19,15,14,20,70.0
Accelerated skeletal maturation,68,58,54,72,75.0
Acephalic spermatozoa,7,6,6,7,85.71
Achilles tendon contracture,54,39,39,54,72.22
Achromatopsia,5,5,5,5,100.0
Acquired abnormal hair pattern,46,12,11,47,23.4
Action tremor,211,84,83,212,39.15
Acute hepatic failure,35,42,30,47,63.83
Acute infectious pneumonia,6,4,3,7,42.86
Acute lymphoblastic leukemia,38,37,36,39,92.31
Acute myeloid leukemia,76,55,55,76,72.37
Acute rhabdomyolysis,5,5,5,5,100.0
Adenocarcinoma of the intestines,58,48,37,69,53.62
Adenocarcinoma of the small intestine,27,23,11,39,28.21
Adipose tissue loss,32,29,25,36,69.44
Adrenal hypoplasia,35,27,23,39,58.97
Adrenocortical adenoma,9,22,9,22,40.91
Adrenocortical carcinoma,19,16,15,20,75.0
Adult onset,1184,834,829,1189,69.72
Agammaglobulinemia,21,23,19,25,76.0
Aggressive behavior,303,227,226,304,74.34
Agyria,18,14,14,18,77.78
Albinism,20,19,19,20,95.0
Allodynia,5,7,5,7,71.43
Alopecia universalis,11,6,5,12,41.67
Amaurosis fugax,42,37,24,55,43.64
Amyotrophic lateral sclerosis,49,50,49,50,98.0
Anal atresia,134,116,100,150,66.67
Anarthria,16,22,15,23,65.22
Androgen insufficiency,5,10,4,11,36.36
Angina pectoris,36,12,11,37,29.73
Angiofibromas,30,26,25,31,80.65
Angiosarcoma,2,2,1,3,33.33
Angulated muscle fibers,8,4,3,9,33.33
Anhidrosis,38,34,23,49,46.94
Ankle pain,6,5,5,6,83.33
Ankyloblepharon,16,5,5,16,31.25
Anophthalmia,70,65,61,74,82.43
Anorectal anomaly,181,20,19,182,10.44
Anorexia,128,76,69,135,51.11
Anosmia,50,37,37,50,74.0
Anterior encephalocele,18,6,5,19,26.32
Anterior pituitary agenesis,10,15,10,15,66.67
Anterior uveitis,18,12,11,19,57.89
Anti-thyroglobulin antibody positivity,9,5,5,9,55.56
Antineutrophil antibody positivity,57,53,44,66,66.67
Antinuclear antibody positivity,74,63,60,77,77.92
Aortic aneurysm,190,100,99,191,51.83
Aortic arch aneurysm,42,16,15,43,34.88
Aortic valve calcification,10,23,7,26,26.92
Aplasia cutis congenita,43,32,32,43,74.42
Aplasia cutis congenita over the scalp vertex,7,8,5,10,50.0
Aplasia of the ulna,5,19,5,19,26.32
Appendicular spasticity,438,291,286,443,64.56
Apraxia,221,150,147,224,65.62
Aqueductal stenosis,28,32,19,41,46.34
Areflexia,322,255,250,327,76.45
Arterial thrombosis,33,40,30,43,69.77
Arthralgia of the hip,9,10,6,13,46.15
Aspiration,38,13,12,39,30.77
Aspiration pneumonia,98,45,38,105,36.19
Astrocytoma,25,28,24,29,82.76
Asymmetric septal hypertrophy,13,14,11,16,68.75
Athetosis,178,49,49,178,27.53
Atlantoaxial abnormality,14,26,14,26,53.85
Atresia of the external auditory canal,57,13,13,57,22.81
Atrial flutter,21,24,17,28,60.71
Atrioventricular canal defect,69,55,54,70,77.14
Atrophic scars,63,29,29,63,46.03
Atypical behavior,1687,646,646,1687,38.29
Autoimmune thrombocytopenia,39,26,26,39,66.67
Autoimmunity,313,297,272,338,80.47
Axial dystonia,16,13,12,17,70.59
Axillary freckling,5,5,4,6,66.67
Axillary pterygium,12,11,10,13,76.92
Barrett esophagus,7,5,5,7,71.43
Bifid distal phalanx of the thumb,5,3,3,5,60.0
Bifid epiglottis,7,4,3,8,37.5
Bilateral choanal atresia,10,5,4,11,36.36
Bilateral single transverse palmar creases,79,39,37,81,45.68
Bilateral tonic-clonic seizure with focal onset,54,35,35,54,64.81
Bile duct proliferation,23,33,18,38,47.37
Biliary atresia,13,22,11,24,45.83
Biliary tract abnormality,115,111,103,123,83.74
Biliary tract neoplasm,16,30,16,30,53.33
Blepharophimosis,158,93,88,163,53.99
Blindness,347,231,230,348,66.09
Blue nevus,11,8,7,12,58.33
Blurred vision,46,38,33,51,64.71
Bone cyst,28,36,26,38,68.42
Bone marrow hypocellularity,628,63,54,637,8.48
Bowed humerus,10,11,8,13,61.54
Bradycardia,100,63,63,100,63.0
Brain stem compression,14,17,13,18,72.22
Breech presentation,73,19,9,83,10.84
Broad alveolar ridges,15,12,7,20,35.0
Broad columella,14,14,7,21,33.33
Broad distal phalanx of finger,27,25,22,30,73.33
Broad eyebrow,30,18,17,31,54.84
Broad first metatarsal,6,5,5,6,83.33
Broad foot,590,29,29,590,4.92
Broad forehead,293,108,107,294,36.39
Broad metatarsal,13,10,10,13,76.92
Broad nasal tip,165,102,98,169,57.99
Broad phalanges of the hand,632,150,150,632,23.73
Broad thumb,620,73,73,620,11.77
Bronchomalacia,39,24,20,43,46.51
Bruxism,39,8,8,39,20.51
Cachexia,98,37,36,99,36.36
Cafe-au-lait spot,131,44,44,131,33.59
Calcific stippling,5,6,4,7,57.14
Calcification of cartilage,12,11,10,13,76.92
Calf muscle pseudohypertrophy,20,17,15,22,68.18
Calvarial hyperostosis,9,14,8,15,53.33
Calvarial osteosclerosis,8,15,8,15,53.33
Camptodactyly of toe,44,11,10,45,22.22
Capillary hemangioma,38,34,27,45,60.0
Carcinoid tumor,12,40,10,42,23.81
Cardiac rhabdomyoma,5,4,4,5,80.0
Cardiomegaly,139,101,100,140,71.43
Carotid artery stenosis,7,11,7,11,63.64
Caudate atrophy,15,6,6,15,40.0
Centrally nucleated skeletal muscle fibers,60,57,51,66,77.27
Cerebellar atrophy,462,408,403,467,86.3
Cerebellar dentate nucleus calcification,8,6,6,8,75.0
Cerebellar hemisphere hypoplasia,8,15,5,18,27.78
Cerebral arteriovenous malformation,7,15,7,15,46.67
Cerebral cavernous malformation,5,20,5,20,25.0
Cerebral hamartoma,21,17,15,23,65.22
Cerebral hemorrhage,72,63,59,76,77.63
Cerebral inclusion bodies,52,53,44,61,72.13
Cerebral visual impairment,184,77,77,184,41.85
Cervical kyphosis,23,11,5,29,17.24
Cervical lymphadenopathy,10,31,9,32,28.12
Cheilitis,59,62,44,77,57.14
Chiari malformation,134,37,37,134,27.61
Chilblains,12,10,9,13,69.23
Childhood onset sensorineural hearing impairment,19,34,15,38,39.47
Chills,21,11,11,21,52.38
Cholangiocarcinoma,8,17,8,17,47.06
Cholangitis,28,17,16,29,55.17
Chondrocalcinosis,22,8,8,22,36.36
Choreoathetosis,135,72,72,135,53.33
Chorioretinal atrophy,60,36,36,60,60.0
Chorioretinal coloboma,51,23,23,51,45.1
Chronic bronchitis,29,22,21,30,70.0
Chronic infection,26,27,21,32,65.62
Chronic leukemia,23,17,17,23,73.91
Chronic pain,13,25,9,29,31.03
Chronic pulmonary obstruction,37,35,27,45,60.0
Chronic rhinitis,62,21,21,62,33.87
Cirrhosis,167,158,143,182,78.57
Cleft upper lip,237,80,79,238,33.19
Clitoral hypertrophy,69,35,30,74,40.54
Clitoral hypoplasia,33,13,13,33,39.39
Clonus,131,101,89,143,62.24
Cloverleaf skull,8,8,7,9,77.78
Clumsiness,95,42,41,96,42.71
Coarctation of aorta,155,129,118,166,71.08
Coiled sperm flagella,36,51,32,55,58.18
Colon cancer,51,57,40,68,58.82
Color vision defect,222,99,99,222,44.59
Color vision test abnormality,10,9,8,11,72.73
Combined immunodeficiency,43,41,41,43,95.35
Complete atrioventricular canal defect,18,24,17,25,68.0
Complete right bundle branch block,57,23,23,57,40.35
Congenital contracture,193,165,153,205,74.63
Congenital finger flexion contractures,38,16,9,45,20.0
Congenital giant melanocytic nevus,7,6,6,7,85.71
Congenital hypoplastic anemia,5,3,3,5,60.0
Congenital onset,1177,1007,990,1194,82.91
Conical tooth,57,33,31,59,52.54
Conjunctival hyperemia,8,3,2,9,22.22
Convex nasal ridge,119,51,51,119,42.86
Cor pulmonale,15,4,3,16,18.75
Corneal dystrophy,39,23,22,40,55.0
Corneal erosion,111,26,26,111,23.42
Corneal guttata,6,5,4,7,57.14
Corneal neovascularization,27,30,23,34,67.65
Corneal ulceration,90,13,12,91,13.19
Coronal cleft vertebrae,42,13,13,42,30.95
Coronary artery aneurysm,7,8,7,8,87.5
Cough,167,86,82,171,47.95
Cranial asymmetry,16,4,3,17,17.65
Cranial nerve compression,610,42,33,619,5.33
Craniofacial asymmetry,6,21,5,22,22.73
Craniofacial osteosclerosis,16,26,15,27,55.56
Crumpled ear,33,7,6,34,17.65
Cupped ribs,30,18,18,30,60.0
Curly hair,36,12,12,36,33.33
Cutaneous cyst,25,26,20,31,64.52
Cutaneous finger syndactyly,57,43,43,57,75.44
Cutaneous melanoma,22,20,20,22,90.91
Cutaneous syndactyly of toes,36,22,21,37,56.76
Cutis gyrata of scalp,6,6,4,8,50.0
Death in adolescence,23,13,12,24,50.0
Death in adulthood,43,48,35,56,62.5
Death in childhood,138,104,96,146,65.75
Decreased body weight,1962,1222,1212,1972,61.46
Decreased circulating androgen concentration,70,64,59,75,78.67
Decreased circulating copper concentration,8,9,7,10,70.0
Decreased circulating parathyroid hormone level,10,6,6,10,60.0
Decreased circulating renin concentration,13,8,8,13,61.54
Decreased glomerular filtration rate,30,29,24,35,68.57
Decreased head circumference,1766,1011,1000,1777,56.27
Decreased mean corpuscular hemoglobin concentration,6,5,5,6,83.33
Decreased miniature endplate potentials,13,23,12,24,50.0
Decreased number of large peripheral myelinated nerve fibers,20,23,19,24,79.17
Decreased testicular size,188,153,127,214,59.35
Decreased total granulocyte count,8,6,5,9,55.56
Decreased urine output,30,30,25,35,71.43
Deep venous thrombosis,22,22,18,26,69.23
Degeneration of anterior horn cells,21,25,16,30,53.33
Degeneration of the striatum,13,3,3,13,23.08
Dehydration,113,88,82,119,68.91
Delayed epiphyseal ossification,57,29,29,57,50.88
Delayed gross motor development,1002,314,313,1003,31.21
Delayed somatosensory central conduction time,5,9,4,10,40.0
Delirium,10,6,5,11,45.45
Dementia,231,189,187,233,80.26
Demyelinating motor neuropathy,6,16,6,16,37.5
Demyelinating peripheral neuropathy,65,33,33,65,50.77
Dental malocclusion,186,52,52,186,27.96
Dermal translucency,50,10,10,50,20.0
Dermatological manifestations of systemic disorders,352,314,303,363,83.47
Developmental glaucoma,75,41,41,75,54.67
Deviation of the thumb,55,26,26,55,47.27
Deviation of toes,646,66,64,648,9.88
Diaphragmatic weakness,17,22,14,25,56.0
Diaphyseal dysplasia,5,9,5,9,55.56
Diarrhea,463,284,283,464,60.99
Difficulty standing,23,10,9,24,37.5
Diffuse cerebellar atrophy,21,22,11,32,34.38
Diffuse palmoplantar hyperkeratosis,10,7,6,11,54.55
Digenic inheritance,16,12,11,17,64.71
Digestive system neoplasm,356,214,214,356,60.11
Dilatation of the bladder,12,25,11,26,42.31
Dilated cardiomyopathy,186,138,127,197,64.47
Dilated third ventricle,16,39,13,42,30.95
Dimple chin,19,1,1,19,5.26
Discoid lupus rash,39,40,27,52,51.92
Disproportionate short stature,159,99,96,162,59.26
Distal lower limb amyotrophy,65,49,49,65,75.38
Distal lower limb muscle weakness,100,99,93,106,87.74
Distal peripheral sensory neuropathy,20,4,3,21,14.29
Distal symphalangism,8,8,6,10,60.0
Dolichocephaly,237,44,43,238,18.07
Drusen,120,119,95,144,65.97
Dry skin,200,144,141,203,69.46
Duplicated collecting system,26,17,14,29,48.28
Duplication of thumb phalanx,63,25,22,66,33.33
Dynein arm defect of respiratory motile cilia,19,14,13,20,65.0
Dysgammaglobulinemia,5,18,3,20,15.0
Dyskinesia,207,173,162,218,74.31
Dysphagia,572,362,358,576,62.15
Dysphonia,158,35,34,159,21.38
Dyspnea,540,369,368,541,68.02
Dystrophic fingernails,32,40,20,52,38.46
Ear pain,15,3,3,15,20.0
Early young adult onset,64,63,50,77,64.94
Easy fatigability,662,51,46,667,6.9
Ebstein anomaly of the tricuspid valve,6,4,3,7,42.86
Ecchymosis,86,55,53,88,60.23
Eclabion,176,69,69,176,39.2
Ectodermal dysplasia,27,22,22,27,81.48
Ectopia lentis,80,29,27,82,32.93
Ectopia pupillae,23,5,5,23,21.74
Ectopic anterior pituitary gland,9,7,6,10,60.0
Ectropion,136,41,39,138,28.26
Elbow contracture,179,59,59,179,32.96
Elevated circulating aldolase concentration,9,12,8,13,61.54
Elevated circulating aspartate aminotransferase concentration,89,70,63,96,65.62
Elevated circulating growth hormone concentration,17,10,10,17,58.82
Elevated circulating porphyrin concentration,8,6,5,9,55.56
Elevated hepatic iron concentration,12,21,8,25,32.0
Elevated urinary delta-aminolevulinic acid,5,5,5,5,100.0
Elevated urinary vanillylmandelic acid,8,10,7,11,63.64
Embryonal renal neoplasm,49,17,17,49,34.69
Emotional lability,168,60,59,169,34.91
Emphysema,75,46,36,85,42.35
Enamel hypomineralization,10,22,10,22,45.45
Enlarged cerebellum,7,2,1,8,12.5
Enlarged epiphyses,30,15,13,32,40.62
Enlarged interphalangeal joints,6,2,2,6,33.33
Enlarged joints,29,13,12,30,40.0
Enlarged kidney,49,28,28,49,57.14
Enlarged ovaries,18,11,10,19,52.63
Enlarged posterior fossa,203,101,100,204,49.02
Enlarged sylvian cistern,5,2,2,5,40.0
Enterocolitis,32,20,19,33,57.58
Entrapment neuropathy,18,37,14,41,34.15
Enuresis,34,25,15,44,34.09
Epicanthus,1062,175,175,1062,16.48
Epidermal acanthosis,55,47,33,69,47.83
Epididymitis,21,5,5,21,23.81
Epilepsia partialis continua,12,11,10,13,76.92
Epileptic spasm,214,82,82,214,38.32
Erectile dysfunction,79,50,49,80,61.25
Erosion of oral mucosa,108,83,82,109,75.23
Eruption failure,17,20,13,24,54.17
Erythroid hyperplasia,20,31,17,34,50.0
Esophageal atresia,35,37,23,49,46.94
Everted lower lip vermilion,143,81,79,145,54.48
Excessive salivation,171,79,54,196,27.55
Exercise-induced muscle stiffness,8,5,4,9,44.44
Exercise-induced rhabdomyolysis,6,6,6,6,100.0
