Gene Set Name,Common Genes,Newly Added Genes,Lost Genes,# Common,# New,# Lost,# Original
Abnormal circulating citrulline concentration,"1373, 435, 445, 5009, 9056",,"10157, 10165, 10166, 162417, 29960, 4508, 4535, 4536, 4537, 4538, 4540, 4541, 4566, 4567, 4577, 4578, 498, 5105, 5832, 763",5,0,20,25
Lactic acidosis,"10059, 10102, 10128, 10165, 10352, 10667, 11019, 11212, 112812, 115286, 119559, 124454, 126328, 128989, 133686, 1351, 1352, 1355, 137682, 1716, 1737, 1738, 1890, 200205, 2203, 229, 23203, 23395, 23417, 23474, 23479, 2538, 2542, 25821, 25915, 26007, 26235, 2671, 27010, 27235, 27247, 283459, 284184, 284439, 28976, 29078, 3028, 3030, 3033, 3141, 374291, 388962, 3980, 4285, 4358, 4508, 4509, 4511, 4512, 4513, 4514, 4519, 4535, 4536, 4537, 4538, 4540, 4541, 4556, 4566, 4567, 4570, 4575, 4576, 4694, 4700, 4702, 4705, 4709, 4713, 4716, 4719, 4720, 4722, 4723, 4724, 4728, 4729, 4967, 501, 50484, 50640, 5091, 5095, 5096, 51021, 5105, 51067, 51081, 51095, 51103, 51241, 513, 51300, 514, 51520, 5160, 51601, 5162, 51660, 5250, 5256, 5257, 5261, 5428, 54539, 54704, 54931, 5495, 54968, 55005, 55065, 55278, 55572, 55687, 55750, 55863, 56997, 57017, 57176, 57505, 57570, 5836, 58472, 593, 60386, 617, 63899, 6392, 63931, 6519, 65993, 6834, 7084, 7284, 7386, 763, 79133, 79823, 80224, 80324, 8050, 84334, 84705, 84833, 84947, 8802, 8803, 90624, 91942, 9361, 9581, 9997","10494, 221496, 23410, 2539, 2703, 2950, 3939, 6714, 686, 7298, 7385, 80704, 8671, 94137, 9892","100131801, 11274, 125988, 128240, 1340, 1537, 2271, 22868, 291, 3712, 387787, 388753, 4141, 4558, 4564, 4568, 4572, 4574, 4577, 4578, 4697, 4715, 4726, 498, 5106, 51204, 5188, 54840, 55699, 56945, 57128, 60528, 6261, 6341, 6389, 6901, 708, 790955, 84300, 91647",163,15,40,203
Quadriceps muscle atrophy,"10558, 203859, 6261, 6606","217, 22926, 231, 3554, 6647, 7415, 9173",122622,4,7,1,5
Spherocytosis,"2038, 286, 6005, 6006, 6521, 6708, 6710",2623,6007,7,1,1,8
Red hair,"4157, 4948, 5443, 7306",,"5122, 5144, 5573, 84627",4,0,4,8
True hermaphroditism,"23322, 2516, 26123, 51259, 54903, 57545, 65062, 6662, 6736, 7490, 79583, 79600, 79770, 79867, 80184, 91147","10655, 1761, 284654, 54361, 6658, 668, 7536","27077, 57096, 79848, 80776, 84314",16,7,5,21
Axillary freckling,"161742, 2956, 4763, 4771",3852,4292,4,1,1,5
Abnormal circulating nucleobase concentration,"3172, 3251, 4860",,"10243, 10686, 116085, 137682, 1497, 150, 1807, 1890, 1962, 2203, 229, 2538, 2542, 25970, 2628, 29927, 3155, 38, 3998, 4000, 4337, 4338, 4582, 4609, 4982, 5009, 5213, 5256, 5257, 540, 5428, 5468, 54938, 55034, 5631, 56606, 5837, 5972, 6514, 6569, 6928, 7369, 7498, 7840, 8792, 90411",3,0,46,49
Androgen insufficiency,"10046, 367, 3972, 83449","1589, 23530, 2516, 2737, 3284, 6716",140732,4,6,1,5
Hypoplasia of the uterus,"128674, 1586, 2099, 2260, 23395, 2516, 2798, 344018, 50846, 54361, 5447, 55636, 55717, 658, 6662, 668, 6928, 81848",8546,"128, 1349, 145173, 1528, 1584, 1848, 2253, 23514, 26012, 26284, 2796, 3052, 317761, 3664, 3814, 402381, 4439, 4808, 51199, 54539, 55012, 56945, 57122, 60675, 64220, 6664, 6866, 6870, 80067, 8192, 84634, 8822, 9210, 9394, 9928",18,1,35,53
Peripheral arterial stenosis,"189, 2006, 2200, 2301, 255738, 26119, 338, 348, 368, 3717, 3949, 4000, 4015, 4088, 4089, 4144, 4352, 4629, 4638, 5592, 59, 64241, 7042, 7043, 7046, 7048, 7066, 79875, 8076","2475, 3579, 4018, 4524, 6279, 6280, 6283, 968","23493, 30008, 4087, 64240",29,8,4,33
Abnormal negative emotional state,"3064, 4204","2289, 2908, 348, 4852, 5021, 5368, 7248, 7249, 775, 8991","2328, 6515, 7543",2,10,3,5
Recurrent viral infections,"100, 10320, 10379, 10892, 1503, 1991, 2214, 2624, 3431, 3561, 3575, 3716, 3718, 4261, 4791, 4860, 50619, 5238, 5293, 5896, 5897, 5993, 5994, 6023, 64135, 64421, 6772, 6789, 6891, 695, 7297, 7535, 79840, 81704, 84061, 8625, 90417, 9636",,"10092, 10312, 10714, 134218, 165918, 2313, 253959, 2672, 3507, 3559, 4173, 51119, 51371, 55072, 57724, 6728, 6778, 686, 79631, 81570, 9020, 9138, 925",38,0,23,61
Submucous cleft soft palate,"10526, 11128, 246329, 4750, 4841, 57822, 6651, 7314, 8626","158326, 23452, 4212, 4330, 50945, 5130, 54796, 634, 6899, 7037, 7043, 8692","51305, 57688",9,12,2,11
