Gene Set Name,Common Genes,Newly Added Genes,Lost Genes,# Common,# New,# Lost,# Original
Middle age onset,"1000, 100134444, 10059, 10060, 100996717, 10133, 10159, 10299, 10320, 10483, 10516, 10667, 10699, 11080, 1134, 116442, 1181, 1282, 129607, 138050, 1410, 1436, 1495, 1540, 16, 1600, 1674, 1716, 1786, 1822, 1824, 1829, 1861, 1981, 203859, 2066, 219285, 2196, 2200, 2224, 2273, 23093, 23095, 2318, 23193, 23230, 23676, 246243, 2512, 2539, 2542, 256471, 25913, 25974, 25978, 26011, 26060, 2632, 284086, 29110, 2992, 29967, 29978, 3075, 311, 3119, 3156, 3178, 324, 3315, 335, 339453, 343641, 344658, 348, 351, 3703, 3708, 3710, 3717, 3741, 3748, 3752, 3759, 3777, 3784, 3798, 3827, 389692, 3910, 4000, 400916, 4010, 4015, 4069, 4072, 4087, 4117, 4131, 4137, 4292, 4311, 4359, 440193, 440275, 4436, 4437, 4624, 4669, 4747, 4750, 4763, 4854, 4878, 4884, 4901, 491, 5052, 5071, 50939, 51117, 51142, 51251, 5155, 5159, 51604, 5165, 5173, 5255, 5311, 5314, 5350, 5428, 5442, 54822, 54832, 54982, 55129, 55791, 55800, 55901, 55975, 5621, 5649, 5654, 5660, 5663, 5664, 57338, 57462, 57505, 57798, 583, 5837, 5894, 59345, 60481, 6103, 6117, 6240, 6324, 6327, 6331, 6389, 6392, 64601, 64780, 65055, 653509, 654, 659, 6609, 6622, 672, 6785, 6892, 6908, 70, 7015, 7045, 7123, 7134, 7137, 7139, 7168, 7273, 727676, 7277, 7317, 7369, 7384, 7414, 7415, 7443, 7555, 7716, 79797, 79875, 80036, 80201, 80208, 81790, 825, 8314, 84196, 84665, 84839, 84868, 857, 8573, 8622, 8651, 8729, 8911, 8930, 899, 8996, 9094, 9096, 9149, 9211, 9217, 92345, 9256, 92935, 94137, 9420, 9445, 9516, 9517, 9531, 9563, 9750, 9782, 9907, 9992, 9997","10411, 1289, 23530, 2645, 2705, 3064, 3161, 3172, 3569, 3574, 3579, 4018, 5820, 6927, 6949","10137, 11149, 1816, 2218, 25814, 2702, 27199, 4141, 50484, 54471, 54902, 55034, 57449, 57863, 7072, 7084, 79719, 91624, 9897",237,15,19,256
Abnormal nasal septum morphology,"1387, 2263, 2317, 340061, 3664, 415, 4487, 4763, 4841, 5053, 526, 5290, 56915, 5818, 6197, 7020, 7317, 8626, 9241","1500, 2253, 2535, 55636, 90","101929726, 2033, 5727, 6496, 7050, 91179",19,5,6,25
Iris coloboma,"10058, 10195, 10329, 10413, 10464, 10585, 1063, 10815, 10908, 11041, 1123, 1282, 1349, 1409, 1414, 1415, 1420, 1421, 145173, 1487, 148789, 153241, 157680, 1605, 1717, 1859, 200894, 219844, 219854, 2218, 2248, 2253, 2260, 2263, 22827, 23090, 23126, 2313, 23247, 23322, 23347, 23394, 257, 25776, 25942, 26123, 26128, 2619, 2703, 27077, 2736, 2776, 284252, 28514, 286, 28952, 29954, 3052, 3149, 3166, 3265, 338917, 340419, 3476, 3845, 3954, 3981, 403, 4036, 406987, 4313, 4323, 4591, 473, 4838, 4853, 4854, 4867, 4893, 4919, 4990, 50937, 50945, 51082, 51259, 51339, 51360, 5147, 51524, 51684, 523, 53834, 54539, 54806, 54872, 54888, 55624, 55636, 55714, 56623, 56896, 57020, 5727, 57479, 5908, 5925, 60, 6297, 6299, 6469, 64840, 65062, 6608, 6657, 6711, 6949, 7020, 7050, 71, 729920, 7468, 7469, 7546, 7837, 7855, 79147, 79583, 79600, 79644, 79867, 80173, 80184, 80210, 80776, 84172, 8481, 84892, 84976, 85365, 8643, 8777, 8928, 90952, 91147, 9215, 9338, 9496, 95681, 9723, 9731, 9786, 9839, 9851, 9935","2301, 2649, 3708, 5076, 5080, 7248, 7249","113246, 116931, 1413, 2077, 220202, 23116, 2316, 26610, 4094, 54880, 54903, 57167, 57545, 5950, 64412, 6496, 652, 65250, 6997, 7473, 79848, 8085, 8260, 84197, 9533, 9573, 9897",154,7,27,181
Abnormal caudate nucleus morphology,"103, 10381, 1641, 1678, 23230, 23400, 2639, 26580, 3064, 347733, 440, 4508, 4750, 4983, 53371, 54209, 57338, 6515, 7305, 79133, 80347, 9361, 93986","2521, 4854","23636, 2512",23,2,2,25
Abnormally folded helix,"10664, 10771, 1147, 1280, 1457, 1656, 2187, 2201, 2335, 2773, 5332, 55012, 6535, 6929, 7291, 7543, 8085, 8216, 8243, 8260, 8621, 9343, 9361, 93986, 9401, 9772, 9949","10381, 220202","10682, 10982, 1193, 1312, 1376, 1387, 139285, 158326, 1836, 203068, 2077, 221037, 2263, 23126, 23556, 2535, 253738, 26834, 27161, 27245, 2782, 2812, 283209, 284058, 284252, 29920, 29998, 3199, 3339, 421, 4677, 4774, 4784, 51339, 5277, 53335, 54880, 5500, 55252, 55617, 55636, 58499, 60, 6228, 6239, 6299, 6567, 6899, 6909, 7020, 7043, 7204, 727857, 7290, 7353, 738, 7403, 79005, 79848, 867, 91179, 9487, 9488, 9632, 9723, 9786, 9968",27,2,67,94
Psychomotor deterioration,"112476, 1201, 22796, 23545, 246243, 2581, 2584, 3073, 3785, 3786, 4297, 50484, 523, 529, 5354, 5538, 5660, 6326, 6334, 8398","1186, 1356, 203228, 2592, 4204, 6311, 6812, 84153",,20,8,0,20
Impotence,"1026, 1027, 1030, 1031, 128674, 148738, 1848, 207, 215, 2253, 2260, 2332, 26012, 26278, 27235, 2796, 2798, 2982, 30061, 3074, 3077, 3814, 4221, 4771, 4808, 5155, 51684, 5277, 5290, 55636, 55717, 57817, 60675, 6315, 64072, 650, 6598, 6605, 6608, 6866, 6870, 7015, 7036, 7276, 81848, 8314, 83550, 84634, 8822, 8913, 9049, 9394","1463, 2547, 26097, 3162, 367, 4691, 4841, 4924, 7381, 7913","129607, 4001, 5159, 57462, 58494, 6575, 724066, 79903, 84231, 9213",52,10,10,62
Erectile dysfunction,"1026, 1027, 1030, 1031, 10371, 128674, 148738, 1630, 1848, 190, 207, 2253, 26012, 26278, 27235, 2796, 2798, 285025, 30061, 3043, 3074, 3077, 3662, 367, 3730, 3814, 389549, 4001, 4221, 4771, 4808, 5155, 5277, 5290, 54756, 55636, 55717, 57817, 60675, 6315, 64072, 650, 654, 6598, 6605, 6866, 6870, 7015, 7036, 7276, 79625, 81848, 8314, 83550, 84231, 84634, 8820, 8822, 8913, 9049, 9394","10498, 1545, 4088, 4846, 65018, 6502","129607, 215, 2260, 2332, 23767, 2581, 2982, 4693, 5159, 51684, 57462, 58494, 6575, 6608, 6663, 724066, 79903, 9213",61,6,18,79
Persistently decreased total neutrophil count,"134218, 2542, 3579, 51119, 51362, 51645, 79631, 9158, 987","1359, 1432, 1441, 1545, 2152, 23476, 3576, 3627, 4332, 4478, 6283, 64499, 6947, 7177, 9314, 948, 959",,9,17,0,9
Noncompaction cardiomyopathy,"100151683, 114803, 131118, 1660, 1837, 23417, 4633, 4841, 54675, 57534, 6262, 6331, 6389, 6390, 644096, 6910, 93649","10290, 150572, 1832, 4607, 4625, 4629, 6444, 7273","10345, 2318, 3757, 3784, 4000, 5318, 5350, 6392, 7168, 801, 805, 808, 845",17,8,13,30
Impaired mastication,"10381, 10667, 1134, 122622, 128178, 1896, 2260, 23175, 23394, 23516, 26191, 27245, 2773, 284058, 2902, 3106, 3123, 3211, 3664, 3679, 3908, 3913, 4040, 4487, 4512, 4514, 4633, 4762, 5083, 51126, 51776, 5528, 57190, 57679, 58, 5818, 5837, 7039, 7169, 7170, 7341, 7480, 79912, 80326, 8292, 8367, 84033, 8626, 8974, 9200","3423, 5159, 5332, 8313","64388, 91574",50,4,2,52
Broad nasal tip,"10060, 10075, 1009, 10210, 10664, 10736, 10847, 11011, 11133, 11198, 112939, 114034, 1499, 158326, 170692, 178, 1806, 1859, 196528, 1968, 2006, 2132, 2137, 2186, 22827, 22930, 23126, 23133, 23314, 23394, 23404, 23545, 253738, 257, 25782, 25836, 26040, 26123, 26137, 26834, 27086, 2720, 27245, 27315, 2736, 285590, 29072, 29081, 3190, 324, 3265, 3425, 3480, 374654, 3756, 3782, 3832, 389827, 4036, 4052, 4076, 4081, 415, 4297, 4750, 4893, 50485, 51085, 51259, 51305, 51317, 51322, 5147, 51780, 523, 526, 529, 54496, 54870, 54880, 55023, 5515, 55252, 5573, 5575, 55869, 56006, 57465, 57492, 57511, 57688, 5792, 5813, 5915, 5927, 5977, 60, 60529, 6197, 6261, 6418, 64324, 64359, 64840, 6597, 6601, 6602, 6638, 6659, 6664, 6872, 6885, 6909, 7020, 7021, 7175, 7291, 7403, 7518, 7528, 7543, 7750, 79583, 79718, 7994, 80204, 80232, 80816, 81887, 8289, 8364, 8367, 8481, 85440, 8558, 8812, 90417, 9126, 9131, 92002, 9578, 9653, 9759, 9851","2334, 29123, 4204, 7862","221322, 2317, 23219, 23221, 23325, 25886, 317662, 5293, 55650, 55784, 57459, 64864, 65250, 6598, 6605, 84282, 84720, 8573, 8733, 9091, 93210",144,4,21,165
Abnormal lymphatic vessel morphology,"147372, 1604, 2294, 2324, 3458, 4351, 5290, 54345, 55072, 5921, 7248, 7249, 79633, 9508, 9780","10894, 2078, 2122, 3845, 5629, 6591, 7157, 93986","3265, 57165, 9620",15,8,3,18
Abnormal corpus striatum morphology,"100147744, 103, 10381, 10535, 10846, 11128, 11277, 134353, 1356, 1641, 1678, 23230, 23400, 25939, 2639, 26580, 3064, 347733, 4287, 440, 4508, 4750, 53371, 54209, 54820, 57338, 5903, 64135, 6515, 7305, 79133, 79621, 80347, 84153, 8622, 87178, 9131, 9361, 93986","22911, 26047, 5354, 55843, 9474","23636, 2512, 4983, 51102",39,5,4,43
Calcific stippling,"10682, 3295, 5828, 5830, 8443","3549, 4267, 51, 5167, 5194, 5195, 847, 860",,5,8,0,5
Abnormal leukocyte enzyme concentration or activity,"410, 4125, 4353, 6448",50940,411,4,1,1,5
Ulnar deviation of the hand or of fingers of the hand,"1281, 259232, 3265, 3977, 4882, 5290, 63895, 650, 658, 6885, 7136, 7140, 80816, 9935, 9939",,"101929726, 10225, 10526, 11117, 1146, 118924, 1297, 1298, 1299, 1311, 1399, 165, 1717, 1836, 2200, 2201, 2202, 22858, 22930, 23111, 2316, 23299, 23483, 25, 25782, 29123, 30008, 3209, 3239, 389827, 3911, 3930, 4015, 4054, 4087, 4088, 4123, 444, 4593, 4604, 4621, 4883, 5077, 50945, 51339, 51651, 5189, 5351, 55033, 55131, 5594, 56098, 56896, 56937, 57211, 613, 6263, 6299, 633, 6473, 6497, 6910, 7042, 7043, 7046, 7048, 7169, 7476, 79633, 79796, 79875, 8076, 80776, 81031, 8200, 84231, 875, 90459, 9382, 9839, 9968",15,0,81,96
Sinus bradycardia,"10021, 10345, 2783, 3741, 3753, 3757, 3784, 4000, 51422, 6331, 6336, 6640, 6910, 801, 805",,"10142, 11149, 283446, 287, 341208, 3762, 51086, 6330, 7139, 775, 808, 84340, 859, 9722, 9992",15,0,15,30
Failure of eruption of permanent teeth,5745,10117,"2317, 23347, 6885, 6925",1,1,4,5
Diarrhea,"10092, 10095, 10320, 10525, 10551, 10653, 1080, 11011, 11280, 113235, 1174, 118429, 1188, 120892, 135228, 1374, 146206, 1493, 1593, 1604, 1644, 1811, 1890, 1956, 197322, 2000, 200931, 2022, 2068, 2203, 2212, 222546, 229, 22900, 23474, 2592, 2627, 26276, 26585, 2668, 2717, 27178, 29127, 2956, 29760, 2984, 29851, 3075, 3158, 324, 3423, 3425, 3458, 3559, 3560, 3569, 3572, 3575, 3586, 3587, 359948, 3654, 3659, 3662, 3689, 3718, 3758, 38, 3932, 3938, 3981, 3988, 4067, 4072, 4089, 4221, 4261, 4292, 4306, 4351, 4436, 4547, 4598, 4613, 4615, 4645, 4689, 4803, 50615, 50674, 50943, 51128, 5122, 5205, 5244, 5293, 5294, 5295, 538, 5395, 5422, 5428, 54809, 55630, 55898, 5651, 567, 57217, 5728, 57511, 57551, 57680, 58484, 5896, 59067, 5979, 6023, 6326, 6337, 64127, 64135, 64421, 6448, 6476, 65018, 6523, 6550, 6555, 6559, 657, 6578, 6584, 6603, 6651, 6688, 6770, 6772, 6774, 6775, 6809, 6850, 6868, 6929, 6948, 7037, 7040, 7099, 7132, 7157, 72, 7248, 7249, 7253, 7345, 7482, 7535, 7874, 79728, 79827, 81570, 8260, 8313, 83737, 841, 84433, 84876, 8517, 85365, 8647, 867, 8694, 8737, 8929, 9056, 915, 930, 94, 9401, 9420, 959, 974, 987",,"100, 10043, 10165, 101928376, 10195, 1026, 1027, 1029, 1030, 1031, 10312, 10512, 10526, 105371045, 10560, 10587, 10616, 10878, 11181, 11311, 11315, 115650, 1161, 1230, 123264, 1355, 1371, 1376, 1380, 138050, 139818, 149233, 1495, 1621, 162417, 165918, 1674, 170302, 171023, 175, 1760, 1776, 1777, 1789, 1794, 1889, 190, 1908, 1910, 1991, 204, 2064, 2065, 2072, 2074, 210, 215, 2153, 2157, 2158, 2184, 223117, 22845, 23022, 23095, 23149, 23221, 23394, 23417, 23495, 23530, 23600, 238, 2538, 2542, 254394, 25839, 26007, 2672, 2683, 26873, 27030, 27429, 2799, 2811, 2812, 285282, 28755, 3033, 3043, 3074, 3078, 3106, 3117, 3119, 3145, 3155, 3172, 3257, 326, 335, 337867, 34, 3431, 3459, 3507, 3514, 3543, 355, 3551, 3561, 3592, 3655, 3673, 3674, 3690, 3691, 3735, 374354, 3815, 3845, 389421, 3980, 4004, 4128, 4158, 4175, 4210, 427, 435, 4358, 4437, 4512, 4513, 4514, 4535, 4538, 4540, 4541, 4548, 4558, 4564, 4567, 4568, 4572, 4574, 4575, 4578, 4594, 4595, 4669, 4683, 472, 477, 478, 4792, 4902, 4913, 498, 50484, 50619, 5071, 51111, 51604, 51703, 51752, 5236, 5256, 5257, 5261, 5297, 5317, 5339, 535, 537, 5373, 5420, 5424, 5426, 546, 54790, 54832, 54888, 54894, 54914, 55027, 55072, 551, 55107, 5528, 55343, 55388, 55636, 55739, 56052, 56246, 56262, 5699, 57003, 57169, 57531, 5897, 5966, 5993, 5994, 60468, 6263, 6288, 6303, 6335, 63894, 6392, 6427, 64682, 64711, 6499, 6507, 6513, 6557, 6573, 6608, 6622, 6696, 6718, 672, 6720, 6728, 675, 6794, 686, 695, 7015, 710, 720, 721, 727, 7276, 7388, 7454, 7456, 773, 7737, 790, 79053, 79631, 79783, 79796, 80270, 81693, 81858, 8302, 83483, 8456, 84936, 8518, 8567, 857, 861, 8625, 8659, 8813, 8867, 8930, 9020, 90268, 90417, 9051, 916, 917, 919, 91949, 92667, 9493, 9652, 9690, 973, 9829, 9837, 9841, 9948, 999",182,0,281,463
Anti-thyroglobulin antibody positivity,"326, 4791, 7068, 7253",,"10125, 139818, 29775, 51371, 9103",4,0,5,9
Coarctation of aorta,"100128908, 100151683, 10128, 10195, 1024, 10516, 10664, 10735, 10847, 10992, 1108, 11198, 11224, 123606, 132, 137814, 140628, 146862, 1482, 1717, 1822, 1956, 2006, 200734, 2033, 2187, 2253, 2260, 22800, 22808, 22827, 2294, 2313, 23483, 25, 2619, 2623, 2627, 2657, 26834, 2702, 2703, 2736, 2737, 28514, 3265, 3845, 4089, 4091, 4212, 4313, 4323, 4625, 4763, 4838, 4851, 4893, 5053, 50937, 51057, 51322, 51626, 51816, 5236, 5500, 55027, 55644, 5604, 57057, 5727, 5745, 5781, 5826, 5894, 5922, 6016, 6125, 6132, 6133, 6135, 6138, 6160, 6165, 6201, 6204, 6210, 6218, 6223, 6224, 6229, 6231, 6232, 6235, 6237, 64220, 6491, 6496, 65250, 6595, 6654, 6655, 673, 6736, 6888, 6899, 699, 6997, 701, 7026, 7050, 7283, 7403, 7490, 7543, 7546, 7547, 7707, 79813, 79903, 8085, 81614, 8216, 8295, 83475, 84231, 84976, 867, 8802, 8883, 8928, 89910, 90121, 9184, 9319, 9702, 9839, 9894, 9939, 9968","10102, 150572, 27302, 412, 4633, 4693, 51696, 54897, 6093, 9228","1000, 1387, 139285, 1499, 1654, 182, 4281, 54903, 55784, 5832, 5927, 6141, 6154, 6155, 6234, 6469",139,10,16,155
Hypermethioninemia,"132, 191, 27232, 4143, 875",,"10165, 2184, 7019, 9652",5,0,4,9
Ulnar deviation of the hand,"3911, 5077, 56098, 6885, 80816, 9935, 9939",55605,"118924, 1297, 1298, 1299, 1311, 1836, 22858, 23111, 2316, 23299, 3930, 4123, 4593, 4621, 5189, 5290, 55131, 56896, 57211, 6263, 79633, 79796, 80776, 90459, 9839, 9968",7,1,26,33
Split foot,"10054, 1749, 51776, 58513, 6468, 64840, 7480, 8626, 8945",,"1750, 2263, 2737, 7979",9,0,4,13
Membranoproliferative glomerulonephritis,"1777, 2542, 712, 718, 8526",4211,"5238, 54345, 57169, 84823",5,1,4,9
Uterus didelphys,"2535, 2625, 27152, 3209, 4659, 55112, 57539, 57560, 7490, 79659, 8312, 89891","1045, 3815, 3975, 5076, 6928",,12,5,0,12
Gait ataxia,"10157, 10273, 103, 10382, 10479, 10528, 10749, 10765, 10908, 10935, 10939, 11232, 112476, 116150, 1173, 1181, 1200, 122553, 124997, 128989, 129285, 131669, 1356, 146057, 1487, 158, 1795, 1938, 1968, 20, 2055, 2065, 2068, 2071, 2196, 22, 221927, 2232, 2259, 22854, 22880, 22943, 23064, 23102, 23203, 23219, 23261, 2332, 23345, 23395, 23400, 23636, 23646, 2395, 24142, 253738, 2554, 2566, 25814, 25885, 26278, 2643, 26580, 267010, 27010, 2705, 27077, 27245, 27247, 283489, 2891, 2895, 28960, 2898, 2903, 291, 2911, 2961, 3064, 3074, 3119, 3295, 339453, 343641, 3475, 361, 3615, 3708, 3748, 3752, 3954, 4001, 404672, 4081, 410, 4125, 4204, 4261, 4287, 4311, 4359, 4361, 440193, 4508, 4535, 4536, 4537, 4538, 4540, 4541, 4547, 4566, 4567, 4577, 4578, 4677, 4747, 477, 478, 4864, 4929, 4967, 4983, 50484, 5071, 5111, 51117, 51126, 5119, 51308, 51343, 5173, 51741, 5190, 5192, 53371, 5376, 5420, 5428, 5456, 54664, 54676, 54704, 54834, 54840, 54872, 54888, 54902, 54974, 55129, 5518, 55187, 55210, 5528, 55280, 55703, 55739, 55780, 5582, 5610, 5611, 5621, 5660, 56652, 57102, 57410, 57492, 57526, 57704, 57716, 59336, 5981, 5993, 5994, 60481, 6311, 6315, 6323, 6326, 6334, 6335, 6389, 65260, 6595, 6638, 6687, 6712, 6785, 6897, 6908, 6925, 7054, 7204, 7222, 7337, 7343, 7345, 738, 7436, 7737, 79152, 79628, 79736, 79876, 80232, 80704, 80856, 81615, 81790, 823, 8243, 8309, 833, 8398, 8450, 84823, 84842, 84919, 85300, 857, 8625, 87178, 8722, 8733, 8867, 8878, 8905, 8913, 8925, 91137, 9230, 9256, 92935, 9409, 9487, 950, 9516, 9568, 9675, 9711, 9829, 9895, 9922, 9997","1593, 5189, 5828, 747","10522, 136647, 146227, 16, 1822, 27072, 27235, 28982, 372, 5058, 55149, 57465, 5832, 6134, 6324, 64374, 6548, 6792, 7175, 724066, 7515, 773, 9254",244,4,23,267
Ventricular fibrillation,"10008, 100134444, 10021, 10060, 10142, 10345, 10371, 1188, 128989, 1717, 1804, 1832, 23171, 23630, 253017, 2556, 2992, 3752, 3753, 3757, 3759, 3764, 3784, 4607, 4633, 4634, 51422, 5318, 54539, 54795, 55800, 6262, 6324, 6331, 6336, 6337, 6508, 6559, 6640, 70, 7134, 775, 779, 781, 783, 801, 805, 808, 845, 9529, 9992","1404, 22926, 2331, 23604, 26033, 290, 4053, 4358, 55662, 55859, 581, 596, 604, 6424, 7137, 7852, 79987, 8743, 952","144245, 2318, 29098, 37, 4000, 5350, 6327, 7871",51,19,8,59
Absent facial hair,"10262, 10269, 10283, 1041, 11128, 117581, 121391, 128178, 1832, 1896, 2255, 26137, 26227, 267010, 2706, 3229, 367, 3728, 3891, 4000, 4035, 4953, 51360, 5317, 54345, 55806, 5965, 64682, 673, 6949, 80144, 81607, 8626, 9401, 9533","10682, 1186, 1278, 1280, 1311, 1513, 1756, 2131, 2690, 27023, 340990, 344167, 3730, 374879, 4088, 4148, 4621, 5075, 5116, 51574, 55636, 57492, 6434, 6899, 7046, 8456, 9896","51082, 54101, 84172",35,27,3,38
Chronic pain,"100288687, 1294, 1513, 1789, 23347, 2483, 28982, 4287, 4312, 7042, 7543","10125, 11186, 1120, 3164, 4204, 7442, 84868, 9311","22947, 2717",11,8,2,13
Acute hepatic failure,"10068, 10320, 11232, 1537, 2153, 2184, 2859, 28976, 3033, 331, 3717, 3875, 3988, 4068, 4358, 4485, 51520, 51594, 540, 5428, 55687, 57169, 57410, 60561, 6261, 64840, 6925, 779, 811, 83737, 85476, 9451","10457, 114548, 1277, 1906, 25820, 3958, 4023, 4321, 4524, 5005, 54209, 5743, 7099","10507, 3106, 4210",32,13,3,35
Embryonal renal neoplasm,"10155, 23405, 2719, 3265, 3481, 5978, 675, 7157, 7490, 79728",23152,"1028, 10984, 11281, 129563, 161742, 168667, 171023, 190, 2132, 2239, 23414, 2516, 26040, 2626, 283120, 3784, 4214, 4591, 5080, 51317, 51741, 5290, 5727, 57647, 60529, 641, 6662, 6736, 6845, 699, 701, 716, 79577, 9158, 9184, 9319, 9646, 9702, 9759",10,1,39,49
Abnormal rapid eye movement sleep,"10522, 10743, 1786, 22891, 23096, 3060, 3119, 3123, 4221, 4340, 5032, 54551, 5621, 5981, 6492, 7292, 7528, 9881","2571, 2572, 2668, 5617, 6514, 6750, 7021, 85358","1512, 2314, 27235",18,8,3,21
Cleft upper lip,"10220, 10907, 10992, 157570, 1654, 1947, 221322, 2239, 2253, 2260, 2535, 257, 25836, 2619, 340419, 3664, 3728, 4089, 4212, 54880, 5594, 5604, 5649, 5879, 5921, 6469, 64840, 652, 6949, 7020, 7341, 7473, 7484, 8243, 8481, 8626, 867, 8829, 9533, 999",8692,"10060, 10262, 10413, 10522, 10524, 10584, 10585, 10735, 10743, 10815, 10894, 11023, 11285, 1147, 124583, 126792, 128674, 132884, 139285, 145173, 147372, 1487, 1490, 153241, 161742, 171023, 1723, 1748, 200734, 202018, 2050, 2078, 2121, 219844, 2218, 2245, 22800, 22808, 22858, 23007, 2303, 23096, 23133, 2314, 2317, 23194, 2324, 23322, 23384, 23426, 23483, 23556, 25885, 26038, 26123, 26227, 26229, 2624, 26281, 2674, 2697, 27152, 2719, 2736, 2737, 284058, 285, 28514, 29954, 29969, 3239, 3265, 340665, 341640, 374654, 3832, 3835, 3845, 3954, 4010, 4222, 4281, 4487, 4488, 4668, 4683, 4750, 4763, 4838, 4893, 5033, 5077, 50814, 50937, 51082, 51626, 5373, 53834, 54101, 54345, 54499, 54872, 54903, 5500, 55112, 55315, 55627, 55636, 55650, 55790, 55969, 5605, 5629, 5648, 57165, 5727, 57514, 57539, 57545, 57560, 57688, 57724, 5781, 57822, 5784, 5818, 5894, 5922, 5979, 60, 6016, 6097, 6125, 6223, 6237, 63895, 64093, 64131, 64132, 64324, 64411, 64412, 6491, 6496, 6497, 65250, 6608, 6654, 6655, 673, 6997, 7050, 7075, 7248, 7249, 7403, 7424, 7468, 7469, 7546, 78989, 79147, 79633, 79659, 79867, 79971, 79987, 80000, 80144, 8036, 8085, 81788, 8216, 8260, 83479, 8364, 83696, 8405, 84172, 84976, 8516, 85358, 8642, 8828, 8928, 8985, 89891, 9215, 92344, 9469, 9496, 9508, 9620, 9723, 9780, 9968, 998",40,1,197,237
Hyperextensibility of the finger joints,"121340, 1278, 1289, 2200, 2245, 23114, 2783, 3265, 3756, 387733, 4010, 427, 51633, 54499, 54872, 6611, 673, 7543, 91461, 92344, 9373, 9759, 9791, 9968","1277, 2624, 4851, 5290, 55033, 6774","57479, 6197",24,6,2,26
