Gene Set Name,# Genes DB1,# Genes DB2,# Common,Union Size,% Similarity
Abnormal phalangeal joint morphology of the hand,296,7,6,297,2.02
Abnormal pituitary gland morphology,360,42,41,361,11.36
Abnormal pleura morphology,248,182,180,250,72.0
Abnormal portal venous system morphology,11,34,11,34,32.35
Abnormal posturing,7,14,7,14,50.0
Abnormal proximal phalanx morphology of the hand,29,31,26,34,76.47
Abnormal psychotic pattern,164,154,148,170,87.06
Abnormal pulmonary valve morphology,57,10,9,58,15.52
Abnormal pulmonary valve physiology,183,14,13,184,7.07
Abnormal rapid eye movement sleep,21,26,18,29,62.07
Abnormal relationship,16,31,16,31,51.61
Abnormal renal cortex morphology,257,252,242,267,90.64
Abnormal renal morphology,1159,244,244,1159,21.05
Abnormal renal physiology,745,701,699,747,93.57
Abnormal retinal morphology,1120,934,931,1123,82.9
Abnormal retinal vascular morphology,457,259,256,460,55.65
Abnormal salivary gland morphology,28,33,24,37,64.86
Abnormal sclera morphology,643,152,141,654,21.56
Abnormal shoulder morphology,114,10,9,115,7.83
Abnormal size of pituitary gland,31,43,28,46,60.87
Abnormal skull base morphology,739,239,235,743,31.63
Abnormal speech discrimination,5,9,5,9,55.56
Abnormal sperm tail morphology,49,23,22,50,44.0
Abnormal systemic arterial morphology,604,57,57,604,9.44
Abnormal tarsal ossification,9,16,8,17,47.06
Abnormal temper tantrums,37,9,9,37,24.32
Abnormal testis morphology,977,849,817,1009,80.97
Abnormal thalamus morphology,51,47,45,53,84.91
Abnormal thymus morphology,59,69,55,73,75.34
Abnormal tissue enzyme concentration or activity,104,65,64,105,60.95
Abnormal toe morphology,1089,692,681,1100,61.91
Abnormal toe phalanx morphology,157,12,12,157,7.64
Abnormal toenail morphology,164,183,153,194,78.87
Abnormal tongue physiology,101,11,10,102,9.8
Abnormal tricuspid valve physiology,119,81,74,126,58.73
Abnormal upper limb metaphysis morphology,18,22,17,23,73.91
Abnormal ureter morphology,157,163,148,172,86.05
Abnormal urine carbohydrate level,41,5,4,42,9.52
Abnormal urine magnesium concentration,10,13,8,15,53.33
Abnormal urine sodium concentration,18,6,5,19,26.32
Abnormal uterine cervix morphology,41,30,13,58,22.41
Abnormal uterus morphology,178,33,32,179,17.88
Abnormal vascular morphology,1258,1119,1095,1282,85.41
Abnormal ventricular axis,5,13,5,13,38.46
Abnormal ventricular septum morphology,638,489,478,649,73.65
Abnormal vertebral segmentation and fusion,11,5,4,12,33.33
Abnormal waist to hip ratio,36,46,33,49,67.35
Abnormal wrist physiology,31,24,16,39,41.03
Abnormality iris morphology,533,57,57,533,10.69
Abnormality of alkaline phosphatase level,137,37,37,137,27.01
Abnormality of blood circulation,392,148,147,393,37.4
Abnormality of chorioretinal pigmentation,16,21,15,22,68.18
Abnormality of chromosome segregation,14,10,10,14,71.43
Abnormality of connective tissue,1826,665,665,1826,36.42
Abnormality of cytokine secretion,7,24,6,25,24.0
Abnormality of dental structure,813,354,341,826,41.28
Abnormality of endocrine pancreas physiology,31,52,30,53,56.6
Abnormality of facial musculature,348,337,323,362,89.23
Abnormality of fibrinolysis,7,2,1,8,12.5
Abnormality of fluid regulation,800,232,231,801,28.84
Abnormality of humoral immunity,356,109,108,357,30.25
Abnormality of jaw muscles,33,40,30,43,69.77
Abnormality of lens shape,49,22,19,52,36.54
Abnormality of neuronal migration,476,449,439,486,90.33
Abnormality of neutrophils,274,154,154,274,56.2
Abnormality of pain sensation,112,33,32,113,28.32
Abnormality of peripheral nerve conduction,150,146,146,150,97.33
Abnormality of prenatal development or birth,1118,391,390,1119,34.85
Abnormality of prothrombin,102,3,3,102,2.94
Abnormality of renal excretion,74,79,73,80,91.25
Abnormality of spinal facet joint,5,15,5,15,33.33
Abnormality of superoxide metabolism,5,38,5,38,13.16
Abnormality of the anterior commissure,8,3,2,9,22.22
Abnormality of the autonomic nervous system,305,297,286,316,90.51
Abnormality of the bladder,557,479,460,576,79.86
Abnormality of the breast,472,241,240,473,50.74
Abnormality of the dentition,1322,940,939,1323,70.98
Abnormality of the distal phalanges of the toes,30,33,27,36,75.0
Abnormality of the foot musculature,12,19,11,20,55.0
Abnormality of the gingiva,261,26,25,262,9.54
Abnormality of the glabella,29,37,28,38,73.68
Abnormality of the intrinsic pathway,38,40,36,42,85.71
Abnormality of the lower urinary tract,901,135,135,901,14.98
Abnormality of the menstrual cycle,329,59,58,330,17.58
Abnormality of the middle phalanx of the 5th finger,25,25,23,27,85.19
Abnormality of the neck,1131,367,366,1132,32.33
Abnormality of the ovary,238,227,217,248,87.5
Abnormality of the pancreas,335,313,300,348,86.21
Abnormality of the parathyroid gland,100,94,94,100,94.0
Abnormality of the phalanges of the 2nd finger,18,4,4,18,22.22
Abnormality of the plantar skin of foot,173,31,30,174,17.24
Abnormality of the proximal phalanx of the 5th finger,5,5,5,5,100.0
Abnormality of the pulmonary veins,90,88,81,97,83.51
Abnormality of the pylorus,112,119,109,122,89.34
Abnormality of the tarsal bones,171,129,126,174,72.41
Abnormality of the tonsils,40,41,31,50,62.0
Abnormality of the upper arm,15,5,3,17,17.65
Abnormality of the upper limb,1945,1649,1641,1953,84.02
Abnormality of the upper urinary tract,1501,161,160,1502,10.65
Abnormality of the urethra,469,42,42,469,8.96
Abnormality of the vertebral column,1765,1481,1473,1773,83.08
Abnormality of the wrist,651,161,157,655,23.97
Abnormality of thyroid physiology,430,402,393,439,89.52
Abnormality of upper lip vermillion,493,460,454,499,90.98
Abnormality of venous physiology,11,6,5,12,41.67
Abnormality on pulmonary function testing,219,217,197,239,82.43
Abnormally folded helix,94,29,27,96,28.12
Absence of pubertal development,31,36,28,39,71.79
Absence of secondary sex characteristics,44,47,41,50,82.0
Absence of the sacrum,10,13,10,13,76.92
Absent brainstem auditory responses,12,17,12,17,70.59
Absent facial hair,38,62,35,65,53.85
Absent foveal reflex,20,33,17,36,47.22
Absent hair,61,22,21,62,33.87
Absent inner dynein arms,9,21,9,21,42.86
Absent pubertal growth spurt,5,8,5,8,62.5
Absent pubic hair,9,18,9,18,50.0
Absent toenail,19,33,15,37,40.54
Accelerated skeletal maturation,68,73,63,78,80.77
Acephalic spermatozoa,7,6,6,7,85.71
Achilles tendon contracture,54,57,53,58,91.38
Achromatopsia,5,6,5,6,83.33
Acquired abnormal hair pattern,46,6,5,47,10.64
Action tremor,211,54,54,211,25.59
Acute hepatic failure,35,45,32,48,66.67
Acute infectious pneumonia,6,3,2,7,28.57
Acute lymphoblastic leukemia,38,65,34,69,49.28
Acute myeloid leukemia,76,42,42,76,55.26
Acute rhabdomyolysis,5,6,5,6,83.33
Adenocarcinoma of the intestines,58,43,38,63,60.32
Adenocarcinoma of the small intestine,27,15,9,33,27.27
Adipose tissue loss,32,41,28,45,62.22
Adrenal hypoplasia,35,39,33,41,80.49
Adrenocortical adenoma,9,21,9,21,42.86
Adrenocortical carcinoma,19,15,14,20,70.0
Adult onset,1184,864,860,1188,72.39
Agammaglobulinemia,21,22,16,27,59.26
Aggressive behavior,303,271,262,312,83.97
Agyria,18,15,14,19,73.68
Albinism,20,15,15,20,75.0
Allodynia,5,5,5,5,100.0
Alopecia universalis,11,3,3,11,27.27
Amaurosis fugax,42,40,38,44,86.36
Amyotrophic lateral sclerosis,49,50,48,51,94.12
Anal atresia,134,133,118,149,79.19
Anarthria,16,20,15,21,71.43
Androgen insufficiency,5,11,5,11,45.45
Angina pectoris,36,1,1,36,2.78
Angiofibromas,30,32,28,34,82.35
Angiosarcoma,2,2,1,3,33.33
Angulated muscle fibers,8,3,2,9,22.22
Anhidrosis,38,44,38,44,86.36
Ankle pain,6,3,2,7,28.57
Ankyloblepharon,16,4,4,16,25.0
Anophthalmia,70,64,59,75,78.67
Anorectal anomaly,181,9,9,181,4.97
Anorexia,128,109,103,134,76.87
Anosmia,50,12,12,50,24.0
Anterior encephalocele,18,3,2,19,10.53
Anterior pituitary agenesis,10,22,10,22,45.45
Anterior uveitis,18,7,6,19,31.58
Anti-thyroglobulin antibody positivity,9,4,4,9,44.44
Antineutrophil antibody positivity,57,52,50,59,84.75
Antinuclear antibody positivity,74,75,67,82,81.71
Aortic aneurysm,190,73,73,190,38.42
Aortic arch aneurysm,42,8,7,43,16.28
Aortic valve calcification,10,23,9,24,37.5
Aplasia cutis congenita,43,46,38,51,74.51
Aplasia cutis congenita over the scalp vertex,7,10,7,10,70.0
Aplasia of the ulna,5,5,5,5,100.0
Appendicular spasticity,438,423,418,443,94.36
Apraxia,221,198,185,234,79.06
Aqueductal stenosis,28,34,28,34,82.35
Areflexia,322,298,296,324,91.36
Arterial thrombosis,33,31,31,33,93.94
Arthralgia of the hip,9,14,7,16,43.75
Aspiration,38,12,11,39,28.21
Aspiration pneumonia,98,71,71,98,72.45
Astrocytoma,25,32,25,32,78.12
Asymmetric septal hypertrophy,13,15,12,16,75.0
Athetosis,178,2,1,179,0.56
Atlantoaxial abnormality,14,15,13,16,81.25
Atresia of the external auditory canal,57,9,8,58,13.79
Atrial flutter,21,22,20,23,86.96
Atrioventricular canal defect,69,62,57,74,77.03
Atrophic scars,63,25,24,64,37.5
Atypical behavior,1687,223,223,1687,13.22
Autoimmune thrombocytopenia,39,19,18,40,45.0
Autoimmunity,313,307,276,344,80.23
Axial dystonia,16,25,16,25,64.0
Axillary freckling,5,5,5,5,100.0
Axillary pterygium,12,14,11,15,73.33
Barrett esophagus,7,5,5,7,71.43
Bifid distal phalanx of the thumb,5,6,5,6,83.33
Bifid epiglottis,7,3,3,7,42.86
Bilateral choanal atresia,10,3,2,11,18.18
Bilateral single transverse palmar creases,79,69,62,86,72.09
Bilateral tonic-clonic seizure with focal onset,54,19,19,54,35.19
Bile duct proliferation,23,27,20,30,66.67
Biliary atresia,13,13,10,16,62.5
Biliary tract abnormality,115,114,107,122,87.7
Biliary tract neoplasm,16,20,15,21,71.43
Blepharophimosis,158,125,121,162,74.69
Blindness,347,138,137,348,39.37
Blue nevus,11,32,10,33,30.3
Blurred vision,46,57,45,58,77.59
Bone cyst,28,30,26,32,81.25
Bone marrow hypocellularity,628,73,67,634,10.57
Bowed humerus,10,15,10,15,66.67
Bradycardia,100,43,43,100,43.0
Brain stem compression,14,18,13,19,68.42
Breech presentation,73,44,42,75,56.0
Broad alveolar ridges,15,22,15,22,68.18
Broad columella,14,20,13,21,61.9
Broad distal phalanx of finger,27,42,26,43,60.47
Broad eyebrow,30,23,23,30,76.67
Broad first metatarsal,6,16,5,17,29.41
Broad foot,590,37,36,591,6.09
Broad forehead,293,67,66,294,22.45
Broad metatarsal,13,11,10,14,71.43
Broad nasal tip,165,148,144,169,85.21
Broad phalanges of the hand,632,71,70,633,11.06
Broad thumb,620,90,86,624,13.78
Bronchomalacia,39,26,22,43,51.16
Bruxism,39,5,5,39,12.82
Cachexia,98,20,19,99,19.19
Cafe-au-lait spot,131,33,33,131,25.19
Calcific stippling,5,13,5,13,38.46
Calcification of cartilage,12,17,11,18,61.11
Calf muscle pseudohypertrophy,20,18,17,21,80.95
Calvarial hyperostosis,9,20,9,20,45.0
Calvarial osteosclerosis,8,17,8,17,47.06
Camptodactyly of toe,44,8,7,45,15.56
Capillary hemangioma,38,41,37,42,88.1
Carcinoid tumor,12,18,11,19,57.89
Cardiac rhabdomyoma,5,9,5,9,55.56
Cardiomegaly,139,126,120,145,82.76
Carotid artery stenosis,7,13,6,14,42.86
Caudate atrophy,15,7,7,15,46.67
Centrally nucleated skeletal muscle fibers,60,60,55,65,84.62
Cerebellar atrophy,462,407,405,464,87.28
Cerebellar dentate nucleus calcification,8,5,4,9,44.44
Cerebellar hemisphere hypoplasia,8,23,8,23,34.78
Cerebral arteriovenous malformation,7,15,7,15,46.67
Cerebral cavernous malformation,5,7,5,7,71.43
Cerebral hamartoma,21,25,19,27,70.37
Cerebral hemorrhage,72,67,62,77,80.52
Cerebral inclusion bodies,52,59,51,60,85.0
Cerebral visual impairment,184,46,46,184,25.0
Cervical kyphosis,23,13,6,30,20.0
Cervical lymphadenopathy,10,14,10,14,71.43
Cheilitis,59,54,50,63,79.37
Chiari malformation,134,23,22,135,16.3
Chilblains,12,5,5,12,41.67
Childhood onset sensorineural hearing impairment,19,29,16,32,50.0
Chills,21,22,20,23,86.96
Cholangiocarcinoma,8,14,8,14,57.14
Cholangitis,28,10,9,29,31.03
Chondrocalcinosis,22,7,7,22,31.82
Choreoathetosis,135,45,45,135,33.33
Chorioretinal atrophy,60,39,37,62,59.68
Chorioretinal coloboma,51,9,9,51,17.65
Chronic bronchitis,29,28,23,34,67.65
Chronic infection,26,30,24,32,75.0
Chronic leukemia,23,12,12,23,52.17
Chronic pain,13,19,11,21,52.38
Chronic pulmonary obstruction,37,37,33,41,80.49
Chronic rhinitis,62,14,13,63,20.63
Cirrhosis,167,159,148,178,83.15
Cleft upper lip,237,41,40,238,16.81
Clitoral hypertrophy,69,72,67,74,90.54
Clitoral hypoplasia,33,35,31,37,83.78
Clonus,131,127,121,137,88.32
Cloverleaf skull,8,9,8,9,88.89
Clumsiness,95,8,7,96,7.29
Coarctation of aorta,155,149,139,165,84.24
Coiled sperm flagella,36,48,31,53,58.49
Colon cancer,51,46,38,59,64.41
Color vision defect,222,59,59,222,26.58
Color vision test abnormality,10,8,7,11,63.64
Combined immunodeficiency,43,31,31,43,72.09
Complete atrioventricular canal defect,18,21,13,26,50.0
Complete right bundle branch block,57,12,12,57,21.05
Congenital contracture,193,154,148,199,74.37
Congenital finger flexion contractures,38,25,12,51,23.53
Congenital giant melanocytic nevus,7,4,4,7,57.14
Congenital hypoplastic anemia,5,3,2,6,33.33
Congenital onset,1177,1019,1012,1184,85.47
Conical tooth,57,60,51,66,77.27
Conjunctival hyperemia,8,2,1,9,11.11
Convex nasal ridge,119,99,90,128,70.31
Cor pulmonale,15,4,3,16,18.75
Corneal dystrophy,39,21,20,40,50.0
Corneal erosion,111,17,16,112,14.29
Corneal guttata,6,3,3,6,50.0
Corneal neovascularization,27,23,23,27,85.19
Corneal ulceration,90,5,4,91,4.4
Coronal cleft vertebrae,42,33,18,57,31.58
Coronary artery aneurysm,7,6,5,8,62.5
Cough,167,148,145,170,85.29
Cranial asymmetry,16,4,3,17,17.65
Cranial nerve compression,610,53,48,615,7.8
Craniofacial asymmetry,6,20,5,21,23.81
Craniofacial osteosclerosis,16,22,15,23,65.22
Crumpled ear,33,9,6,36,16.67
Cupped ribs,30,34,30,34,88.24
Curly hair,36,3,3,36,8.33
Cutaneous cyst,25,29,24,30,80.0
Cutaneous finger syndactyly,57,59,55,61,90.16
Cutaneous melanoma,22,18,17,23,73.91
Cutaneous syndactyly of toes,36,42,34,44,77.27
Cutis gyrata of scalp,6,7,6,7,85.71
Death in adolescence,23,4,3,24,12.5
Death in adulthood,43,45,40,48,83.33
Death in childhood,138,129,122,145,84.14
Decreased body weight,1962,1401,1385,1978,70.02
Decreased circulating androgen concentration,70,65,63,72,87.5
Decreased circulating copper concentration,8,8,6,10,60.0
Decreased circulating parathyroid hormone level,10,7,6,11,54.55
Decreased circulating renin concentration,13,3,3,13,23.08
Decreased glomerular filtration rate,30,27,25,32,78.12
Decreased head circumference,1766,1264,1248,1782,70.03
Decreased mean corpuscular hemoglobin concentration,6,10,4,12,33.33
Decreased miniature endplate potentials,13,16,13,16,81.25
Decreased number of large peripheral myelinated nerve fibers,20,25,18,27,66.67
Decreased testicular size,188,176,170,194,87.63
Decreased total granulocyte count,8,6,5,9,55.56
Decreased urine output,30,43,28,45,62.22
Deep venous thrombosis,22,22,19,25,76.0
Degeneration of anterior horn cells,21,23,20,24,83.33
Degeneration of the striatum,13,3,2,14,14.29
Dehydration,113,92,91,114,79.82
Delayed epiphyseal ossification,57,16,15,58,25.86
Delayed gross motor development,1002,140,140,1002,13.97
Delayed somatosensory central conduction time,5,8,5,8,62.5
Delirium,10,5,4,11,36.36
Dementia,231,208,199,240,82.92
Demyelinating motor neuropathy,6,11,5,12,41.67
Demyelinating peripheral neuropathy,65,24,24,65,36.92
Dental malocclusion,186,32,32,186,17.2
Dermal translucency,50,8,7,51,13.73
Dermatological manifestations of systemic disorders,352,343,332,363,91.46
Developmental glaucoma,75,70,68,77,88.31
Deviation of the thumb,55,56,50,61,81.97
Deviation of toes,646,121,118,649,18.18
Diaphragmatic weakness,17,20,17,20,85.0
Diaphyseal dysplasia,5,8,5,8,62.5
Diarrhea,463,182,182,463,39.31
Difficulty standing,23,7,6,24,25.0
Diffuse cerebellar atrophy,21,27,18,30,60.0
Diffuse palmoplantar hyperkeratosis,10,7,6,11,54.55
Digenic inheritance,16,10,9,17,52.94
Digestive system neoplasm,356,131,130,357,36.41
Dilatation of the bladder,12,17,12,17,70.59
Dilated cardiomyopathy,186,164,160,190,84.21
Dilated third ventricle,16,21,16,21,76.19
Dimple chin,19,2,2,19,10.53
Discoid lupus rash,39,38,35,42,83.33
Disproportionate short stature,159,141,136,164,82.93
Distal lower limb amyotrophy,65,70,60,75,80.0
Distal lower limb muscle weakness,100,98,96,102,94.12
Distal peripheral sensory neuropathy,20,3,2,21,9.52
Distal symphalangism,8,14,8,14,57.14
Dolichocephaly,237,26,25,238,10.5
Drusen,120,111,109,122,89.34
Dry skin,200,178,163,215,75.81
Duplicated collecting system,26,24,22,28,78.57
Duplication of thumb phalanx,63,46,41,68,60.29
Dynein arm defect of respiratory motile cilia,19,13,12,20,60.0
Dysgammaglobulinemia,5,9,5,9,55.56
Dyskinesia,207,174,168,213,78.87
Dysphagia,572,527,523,576,90.8
Dysphonia,158,17,17,158,10.76
Dyspnea,540,476,470,546,86.08
Dystrophic fingernails,32,40,31,41,75.61
Ear pain,15,3,2,16,12.5
Early young adult onset,64,65,59,70,84.29
Easy fatigability,662,90,88,664,13.25
Ebstein anomaly of the tricuspid valve,6,3,3,6,50.0
Ecchymosis,86,65,56,95,58.95
Eclabion,176,173,169,180,93.89
Ectodermal dysplasia,27,32,25,34,73.53
Ectopia lentis,80,42,42,80,52.5
Ectopia pupillae,23,4,4,23,17.39
Ectopic anterior pituitary gland,9,5,4,10,40.0
Ectropion,136,76,71,141,50.35
Elbow contracture,179,40,39,180,21.67
Elevated circulating aldolase concentration,9,11,9,11,81.82
Elevated circulating aspartate aminotransferase concentration,89,94,82,101,81.19
Elevated circulating growth hormone concentration,17,4,4,17,23.53
Elevated circulating porphyrin concentration,8,8,7,9,77.78
Elevated hepatic iron concentration,12,20,12,20,60.0
Elevated urinary delta-aminolevulinic acid,5,4,4,5,80.0
Elevated urinary vanillylmandelic acid,8,10,8,10,80.0
Embryonal renal neoplasm,49,11,10,50,20.0
Emotional lability,168,24,24,168,14.29
Emphysema,75,60,46,89,51.69
Enamel hypomineralization,10,15,10,15,66.67
Enlarged cerebellum,7,2,1,8,12.5
Enlarged epiphyses,30,19,14,35,40.0
Enlarged interphalangeal joints,6,2,2,6,33.33
Enlarged joints,29,18,13,34,38.24
Enlarged kidney,49,22,22,49,44.9
Enlarged ovaries,18,7,6,19,31.58
Enlarged posterior fossa,203,195,185,213,86.85
Enlarged sylvian cistern,5,6,5,6,83.33
Enterocolitis,32,12,11,33,33.33
Entrapment neuropathy,18,18,13,23,56.52
Enuresis,34,35,31,38,81.58
Epicanthus,1062,97,96,1063,9.03
Epidermal acanthosis,55,49,47,57,82.46
Epididymitis,21,2,1,22,4.55
Epilepsia partialis continua,12,14,8,18,44.44
Epileptic spasm,214,32,32,214,14.95
Erectile dysfunction,79,67,61,85,71.76
Erosion of oral mucosa,108,99,98,109,89.91
Eruption failure,17,22,16,23,69.57
Erythroid hyperplasia,20,30,20,30,66.67
Esophageal atresia,35,44,28,51,54.9
Everted lower lip vermilion,143,140,139,144,96.53
Excessive salivation,171,168,163,176,92.61
Exercise-induced muscle stiffness,8,4,3,9,33.33
Exercise-induced rhabdomyolysis,6,4,4,6,66.67
